"Rt","Vaccine","Variant"
"baseline","early","baseline"
"target","early","baseline"
"economic","early","baseline"
"baseline","manufacturing","baseline"
"target","manufacturing","baseline"
"economic","manufacturing","baseline"
"baseline","equity","baseline"
"target","equity","baseline"
"economic","equity","baseline"
"baseline","both","baseline"
"target","both","baseline"
"economic","both","baseline"
