"scenario","Rt","Vaccine","deaths_med","deaths_baseline_med","deaths_averted_med","deaths_025","deaths_baseline_025","deaths_averted_025","deaths_25","deaths_baseline_25","deaths_averted_25","deaths_75","deaths_baseline_75","deaths_averted_75","deaths_975","deaths_baseline_975","deaths_averted_975"
1,"History Based","100-Day Mission",6449153.11417311,16294591.1612467,9800308.05833595,5749621.82658768,15965290.3723237,7650874.69262387,6154510.47390491,16177814.4708909,8769777.29223249,7616768.77530359,16359975.0129691,10072825.9195399,8726908.80701512,16445284.2128644,10522090.14267
2,"Target Based","100-Day Mission",11036879.0640564,16294591.1612467,5250096.34290338,9275530.41960111,15965290.3723237,3793489.78951971,10396979.742475,16177814.4708909,4732503.42200655,11471132.1218358,16359975.0129691,5954400.15072951,12422264.7921193,16445284.2128644,6960671.134866
3,"Economic Based","100-Day Mission",8623446.89879503,16294591.1612467,7649440.69330028,7594321.61423836,15965290.3723237,5813306.29178901,7995490.12725716,16177814.4708909,6568519.8643295,9703759.34179758,16359975.0129691,8174820.7885166,10589360.5605433,16445284.2128644,8663490.43378446
4,"History Based","100-Day Mission & Manufacturing",4450958.00864237,16294591.1612467,11804156.5091918,3944559.22395253,15965290.3723237,8562146.66745848,4217019.53656884,16177814.4708909,11467135.5638755,4817830.79457503,16359975.0129691,11954735.656835,7856026.8375574,16445284.2128644,12372923.1610065
5,"Target Based","100-Day Mission & Manufacturing",7352675.29163799,16294591.1612467,8832654.24421006,6303386.35485505,15965290.3723237,5690744.80385678,6902477.68725066,16177814.4708909,7497039.56199769,8880976.12567516,16359975.0129691,9365618.64864064,10721081.0838308,16445284.2128644,9985699.41519058
6,"Economic Based","100-Day Mission & Manufacturing",6157411.25059463,16294591.1612467,10040053.8375339,5353493.66993079,15965290.3723237,7894521.37336418,5877918.39346953,16177814.4708909,8668662.31019302,7702389.74481196,16359975.0129691,10374149.0652622,8359169.87116091,16445284.2128644,10865160.5191319
7,"History Based","100-Day Mission & Infrastructure",4891252.19729535,16294591.1612467,11355293.3277491,4407090.53763518,15965290.3723237,8314151.09326472,4681377.73070566,16177814.4708909,10997524.4408543,5210497.64357747,16359975.0129691,11528443.5220893,8058776.25332707,16445284.2128644,11952663.4687169
8,"Target Based","100-Day Mission & Infrastructure",7777119.46841024,16294591.1612467,8472258.36474258,6712553.37821245,15965290.3723237,6590426.66024166,7254416.19915371,16177814.4708909,7595687.04709928,8571427.40637506,16359975.0129691,8940301.87648486,9777491.76254779,16445284.2128644,9628414.92562533
9,"Economic Based","100-Day Mission & Infrastructure",6470990.33668921,16294591.1612467,9741389.73127472,5665977.90462726,15965290.3723237,7720212.68750688,6096064.38226666,16177814.4708909,8553737.75755359,7735600.83053471,16359975.0129691,10117504.7072578,8580025.57343866,16445284.2128644,10529838.9610325
10,"History Based","100-Day Mission Total (Manu. & Infr.)",3546846.73527073,16294591.1612467,12662116.1751697,3105127.34409667,15965290.3723237,9559648.65944239,3360315.44243097,16177814.4708909,12373692.028533,3876972.18563354,16359975.0129691,12827928.1134323,6835453.24033024,16445284.2128644,13235684.8446277
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",5789610.876223,16294591.1612467,10478156.9555435,4769543.2459639,15965290.3723237,8074522.15683397,5252461.91530708,16177814.4708909,9388852.63006568,6916250.72379727,16359975.0129691,10968956.5140199,8332415.69362414,16445284.2128644,11518210.3016222
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",4690706.33290333,16294591.1612467,11541881.2611206,4062240.79442821,15965290.3723237,8720776.22615057,4361441.50104942,16177814.4708909,9603014.11138279,6763776.6611373,16359975.0129691,11888730.549753,7484934.6107099,16445284.2128644,12196640.9967
