"Income","NPI Scenario","Vaccine Scenario","Additional Days Without NPIs","Extra Weeks of Schools Being Fully Open","Extra Weeks of Schools Being Partially Open"
"Worldwide","Target Based","100-Days Mission","15 800  (15 300 - 16 400)","550 ","1 450 "
"High-Income","Target Based","100-Days Mission","5 200  (5 000 - 5 300)","110 ","400 "
"Upper-middle-Income","Target Based","100-Days Mission","5 800  (5 500 - 6 100)","190 ","650 "
"Lower-middle-Income","Target Based","100-Days Mission","4 100  (3 800 - 4 300)","200 ","340 "
"Low-Income","Target Based","100-Days Mission","700  (600 - 800)","60 ","60 "
"Worldwide","Economic Based","100-Days Mission","13 700  (13 300 - 14 100)","1 440 ","3 080 "
"High-Income","Economic Based","100-Days Mission","7 200  (7 100 - 7 400)","350 ","990 "
"Upper-middle-Income","Economic Based","100-Days Mission","3 700  (3 400 - 3 900)","550 ","1 130 "
"Lower-middle-Income","Economic Based","100-Days Mission","2 400  (2 300 - 2 600)","430 ","750 "
"Low-Income","Economic Based","100-Days Mission","300  (200 - 300)","110 ","220 "
"Worldwide","Target Based","100-Days Mission & Manufacturing","24 500  (23 900 - 25 300)","1 850 ","3 410 "
"High-Income","Target Based","100-Days Mission & Manufacturing","8 500  (8 200 - 8 700)","370 ","1 070 "
"Upper-middle-Income","Target Based","100-Days Mission & Manufacturing","8 000  (7 600 - 8 500)","680 ","1 220 "
"Lower-middle-Income","Target Based","100-Days Mission & Manufacturing","6 300  (5 900 - 6 600)","600 ","860 "
"Low-Income","Target Based","100-Days Mission & Manufacturing","1 700  (1 600 - 1 900)","200 ","270 "
"Worldwide","Economic Based","100-Days Mission & Manufacturing","20 000  (19 600 - 20 700)","2 150 ","3 540 "
"High-Income","Economic Based","100-Days Mission & Manufacturing","8 800  (8 500 - 9 000)","410 ","1 120 "
"Upper-middle-Income","Economic Based","100-Days Mission & Manufacturing","5 600  (5 200 - 5 900)","790 ","1 250 "
"Lower-middle-Income","Economic Based","100-Days Mission & Manufacturing","4 500  (4 200 - 4 800)","700 ","900 "
"Low-Income","Economic Based","100-Days Mission & Manufacturing","1 200  (1 100 - 1 300)","260 ","280 "
"Worldwide","Target Based","100-Days Mission & Infrastructure","21 600  (21 000 - 22 300)","1 390 ","3 000 "
"High-Income","Target Based","100-Days Mission & Infrastructure","8 200  (8 000 - 8 400)","350 ","970 "
"Upper-middle-Income","Target Based","100-Days Mission & Infrastructure","6 700  (6 300 - 7 100)","530 ","1 100 "
"Lower-middle-Income","Target Based","100-Days Mission & Infrastructure","5 200  (4 900 - 5 500)","410 ","720 "
"Low-Income","Target Based","100-Days Mission & Infrastructure","1 500  (1 400 - 1 700)","100 ","210 "
"Worldwide","Economic Based","100-Days Mission & Infrastructure","17 100  (16 600 - 17 600)","1 480 ","3 130 "
"High-Income","Economic Based","100-Days Mission & Infrastructure","8 100  (8 000 - 8 400)","360 ","1 000 "
"Upper-middle-Income","Economic Based","100-Days Mission & Infrastructure","4 400  (4 200 - 4 700)","560 ","1 140 "
"Lower-middle-Income","Economic Based","100-Days Mission & Infrastructure","3 400  (3 200 - 3 700)","440 ","760 "
"Low-Income","Economic Based","100-Days Mission & Infrastructure","1 100  (1 000 - 1 200)","120 ","230 "
"Worldwide","Target Based","100-Days Mission Total (Manu. & Infr.)","27 900  (27 200 - 28 800)","2 030 ","3 490 "
"High-Income","Target Based","100-Days Mission Total (Manu. & Infr.)","9 800  (9 500 - 10 000)","390 ","1 090 "
"Upper-middle-Income","Target Based","100-Days Mission Total (Manu. & Infr.)","8 700  (8 200 - 9 200)","740 ","1 240 "
"Lower-middle-Income","Target Based","100-Days Mission Total (Manu. & Infr.)","7 100  (6 700 - 7 400)","660 ","880 "
"Low-Income","Target Based","100-Days Mission Total (Manu. & Infr.)","2 400  (2 200 - 2 500)","240 ","280 "
"Worldwide","Economic Based","100-Days Mission Total (Manu. & Infr.)","22 400  (21 800 - 23 100)","2 230 ","3 580 "
"High-Income","Economic Based","100-Days Mission Total (Manu. & Infr.)","9 400  (9 200 - 9 700)","420 ","1 130 "
"Upper-middle-Income","Economic Based","100-Days Mission Total (Manu. & Infr.)","6 200  (5 800 - 6 400)","810 ","1 260 "
"Lower-middle-Income","Economic Based","100-Days Mission Total (Manu. & Infr.)","5 100  (4 800 - 5 400)","720 ","900 "
"Low-Income","Economic Based","100-Days Mission Total (Manu. & Infr.)","1 700  (1 600 - 1 900)","280 ","290 "
