"scenario","income","Rt","Vaccine","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
1,"HIC","History Based","100-Day Mission",5635384,12274369,6683271,3442478,8974217,5460407,4083766,10396068,6043233,6567325,13881277,7448951,8456833,16644851,8364593
2,"HIC","Target Based","100-Day Mission",7142271,12274369,5165545,4534416,8974217,4176277,5433567,10396068,4635108,8325072,13881277,5682242,9960706,16644851,6729301
3,"HIC","Economic Based","100-Day Mission",7386853,12274369,4536390,5553621,8974217,3263127,6290572,10396068,4012349,9147445,13881277,5065105,11088517,16644851,5729566
4,"HIC","History Based","100-Day Mission & Manufacturing",3790413,12274369,8158694,2762562,8974217,6130100,3169021,10396068,7294253,4812405,13881277,9152019,5731546,16644851,10944633
5,"HIC","Target Based","100-Day Mission & Manufacturing",4644336,12274369,7408132,3520618,8974217,5383501,4072973,10396068,6333949,5583915,13881277,8157665,6755390,16644851,10010711
6,"HIC","Economic Based","100-Day Mission & Manufacturing",4743673,12274369,7379924,3556913,8974217,5379953,4149734,10396068,6350858,5605341,13881277,8155647,6754180,16644851,10129437
7,"HIC","History Based","100-Day Mission & Infrastructure",3807056,12274369,7894514,2943806,8974217,5946505,3375137,10396068,7059329,5410608,13881277,8738303,6300732,16644851,10481166
8,"HIC","Target Based","100-Day Mission & Infrastructure",5387466,12274369,6868064,4043651,8974217,4797986,4639169,10396068,5806528,6560693,13881277,7349528,8216305,16644851,8586545
9,"HIC","Economic Based","100-Day Mission & Infrastructure",5175445,12274369,6999393,3915736,8974217,5006758,4575694,10396068,5876365,6466140,13881277,7493180,8009443,16644851,8736726
10,"HIC","History Based","100-Day Mission Total (Manu. & Infr.)",3251674,12274369,8821791,2538605,8974217,6377952,2912161,10396068,7562490,4101426,13881277,9762416,4723460,16644851,11938983
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",4473070,12274369,7764560,3414595,8974217,5503071,3920384,10396068,6487794,5178269,13881277,8657694,6142735,16644851,10508971
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",4282379,12274369,7975442,3270769,8974217,5669084,3768765,10396068,6627693,5024172,13881277,8715220,6003535,16644851,10622986
1,"LIC","History Based","100-Day Mission",2085538,3063818,977048,1335172,2041038,734700,1879377,2816273,893522,2322580,3325348,1008145,2697478,3723430,1120504
2,"LIC","Target Based","100-Day Mission",2931826,3063818,157241,2094301,2041038,-164848,2689064,2816273,16588,3152806,3325348,235816,3457963,3723430,391288
3,"LIC","Economic Based","100-Day Mission",2408206,3063818,664013,1527423,2041038,417387,2182638,2816273,577017,2616300,3325348,748175,2951638,3723430,874342
4,"LIC","History Based","100-Day Mission & Manufacturing",1227697,3063818,1806719,716529,2041038,1301252,1036040,2816273,1672496,1432023,3325348,1894951,1839112,3723430,2075803
5,"LIC","Target Based","100-Day Mission & Manufacturing",2014858,3063818,1054446,1501901,2041038,470141,1831964,2816273,902732,2173624,3325348,1152632,2493598,3723430,1360219
6,"LIC","Economic Based","100-Day Mission & Manufacturing",1914238,3063818,1133127,1363020,2041038,648676,1736741,2816273,1017928,2164329,3325348,1237267,2434127,3723430,1402731
7,"LIC","History Based","100-Day Mission & Infrastructure",1063526,3063818,1990614,598688,2041038,1475306,894527,2816273,1810929,1255833,3325348,2080739,1564613,3723430,2269509
8,"LIC","Target Based","100-Day Mission & Infrastructure",1750452,3063818,1312182,1176976,2041038,818620,1593677,2816273,1168017,1885231,3325348,1436346,2206272,3723430,1617805
9,"LIC","Economic Based","100-Day Mission & Infrastructure",1517464,3063818,1555923,895448,2041038,1115335,1366345,2816273,1421690,1675200,3325348,1676134,1939902,3723430,1852672
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",474042,3063818,2574548,203006,2041038,1825941,369434,2816273,2355242,656358,3325348,2712731,878518,3723430,2980798
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",1017431,3063818,2028795,629788,2041038,1425918,896084,2816273,1862791,1141344,3325348,2191770,1480371,3723430,2376612
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",877720,3063818,2140681,463222,2041038,1525098,733076,2816273,1982334,1058564,3325348,2326665,1319361,3723430,2503093
1,"LMIC","History Based","100-Day Mission",9599559,28756872,17593797,6217891,19916688,12728881,7905959,24008891,15618368,15749810,35139857,20073714,22903938,42107817,24854136
