"scenario","income","Rt","Vaccine","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
2,"LMIC","Target Based","100-Day Mission",19456168,28756872,9491119,11271346,19916688,7393846,15454533,24008891,8559374,23157709,35139857,11181469,31031504,42107817,15215978
3,"LMIC","Economic Based","100-Day Mission",13949441,28756872,14296631,8081522,19916688,11016803,10341781,24008891,13425322,19470675,35139857,15704891,25674968,42107817,19545987
4,"LMIC","History Based","100-Day Mission & Manufacturing",5446708,28756872,21706550,3659561,19916688,15599380,4599716,24008891,18551454,6533894,35139857,26857020,20727929,42107817,32263261
5,"LMIC","Target Based","100-Day Mission & Manufacturing",10727966,28756872,15475046,7237925,19916688,9836416,8978722,24008891,13497563,16245269,35139857,19190282,27937851,42107817,25536288
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",8509462,28756872,18220930,5767087,19916688,13829080,6951025,24008891,16307118,14683744,35139857,20566207,20459959,42107817,28068123
7,"LMIC","History Based","100-Day Mission & Infrastructure",7151287,28756872,20517166,4740228,19916688,14885346,5882767,24008891,17953728,8716688,35139857,25304959,21799210,42107817,29292654
8,"LMIC","Target Based","100-Day Mission & Infrastructure",13196383,28756872,15410901,7850424,19916688,11750579,9868261,24008891,14164550,17851414,35139857,17231571,26182943,42107817,21116888
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",9640332,28756872,17387778,6450222,19916688,13003715,7960154,24008891,15713764,15925630,35139857,19700493,21307495,42107817,24204414
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",4027598,28756872,23268691,2696810,19916688,17063444,3302078,24008891,20292695,4648184,35139857,29377667,18471956,42107817,34113684
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",7747925,28756872,19510327,4938221,19916688,14566546,5989540,24008891,16553183,12734401,35139857,22193684,21358302,42107817,29159234
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",5812255,28756872,19946965,3854001,19916688,15727348,4747872,24008891,18241499,11866067,35139857,23326509,18998539,42107817,31094850
1,"UMIC","History Based","100-Day Mission",9594310,17053410,7482737,6572138,12687835,5534752,8213249,14730003,6743261,11013653,19262603,8087501,13163861,21843476,8891004
2,"UMIC","Target Based","100-Day Mission",12781813,17053410,4208638,9178047,12687835,2773662,11060386,14730003,3688193,14612779,19262603,4628193,17228385,21843476,5609290
3,"UMIC","Economic Based","100-Day Mission",11173666,17053410,5740916,7968963,12687835,4362376,9388868,14730003,5195290,12772840,19262603,6329074,15297245,21843476,7138840
4,"UMIC","History Based","100-Day Mission & Manufacturing",8025308,17053410,9063846,5133166,12687835,6790667,6702054,14730003,7934055,9518144,19262603,9829704,11131603,21843476,11090174
5,"UMIC","Target Based","100-Day Mission & Manufacturing",10638098,17053410,6329436,7470026,12687835,4409853,9389076,14730003,5597004,12476083,19262603,6861889,14468187,21843476,8148196
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",9387237,17053410,7620959,6387083,12687835,5642761,7980979,14730003,6564720,10941041,19262603,8255944,12984239,21843476,9482951
7,"UMIC","History Based","100-Day Mission & Infrastructure",7936112,17053410,9288934,5135465,12687835,7065842,6544804,14730003,8207101,9256932,19262603,9914085,11188831,21843476,10992600
8,"UMIC","Target Based","100-Day Mission & Infrastructure",10486618,17053410,6449368,7268513,12687835,5048710,8691315,14730003,5799691,12106414,19262603,7154293,14522535,21843476,8197767
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",9256743,17053410,7730999,6449144,12687835,5931668,7602981,14730003,6909898,10746595,19262603,8264831,13044339,21843476,9377642
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",6777274,17053410,10284526,4304436,12687835,7853109,5702398,14730003,9151111,8180570,19262603,11137156,9575421,21843476,12538738
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",9086690,17053410,7749139,6284976,12687835,5654750,7876914,14730003,6755215,10801287,19262603,8514945,12797609,21843476,9848449
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",8174919,17053410,8825852,5452999,12687835,6657492,6939175,14730003,7705347,9784214,19262603,9572196,11582228,21843476,10935319
