"scenario","income","Rt","Vaccine","deaths_med","deaths_baseline_med","deaths_averted_med","deaths_025","deaths_baseline_025","deaths_averted_025","deaths_25","deaths_baseline_25","deaths_averted_25","deaths_75","deaths_baseline_75","deaths_averted_75","deaths_975","deaths_baseline_975","deaths_averted_975"
1,"HIC","History Based","100-Day Mission",1160316,2611053,1440538,886822,2567425,1301998,963156,2593440,1391990,1214960,2632928,1670881,1345814,2671499,1725427
2,"HIC","Target Based","100-Day Mission",1550243,2611053,1052085,1185237,2567425,780766,1283635,2593440,904563,1701800,2632928,1360185,1821981,2671499,1443088
3,"HIC","Economic Based","100-Day Mission",1668654,2611053,941445,1435984,2567425,693711,1602934,2593440,867204,1729585,2632928,1018266,1923833,2671499,1166703
4,"HIC","History Based","100-Day Mission & Manufacturing",800774,2611053,1824713,701187,2567425,1576342,754183,2593440,1746698,853884,2632928,1855328,1038213,2671499,1913306
5,"HIC","Target Based","100-Day Mission & Manufacturing",1026726,2611053,1580103,944044,2567425,1390908,986426,2593440,1530732,1084596,2632928,1629902,1219955,2671499,1685959
6,"HIC","Economic Based","100-Day Mission & Manufacturing",1017180,2611053,1586185,921602,2567425,1393293,988763,2593440,1539172,1061835,2632928,1638997,1219657,2671499,1695840
7,"HIC","History Based","100-Day Mission & Infrastructure",853289,2611053,1775806,742423,2567425,1489218,804637,2593440,1609677,995408,2632928,1819130,1107407,2671499,1862865
8,"HIC","Target Based","100-Day Mission & Infrastructure",1200025,2611053,1414759,1075940,2567425,1254253,1154882,2593440,1344629,1257094,2632928,1474800,1349997,2671499,1547856
9,"HIC","Economic Based","100-Day Mission & Infrastructure",1149506,2611053,1465987,1035857,2567425,1278507,1095356,2593440,1393615,1217261,2632928,1514029,1320251,2671499,1602179
10,"HIC","History Based","100-Day Mission Total (Manu. & Infr.)",711154,2611053,1906887,637987,2567425,1768074,680191,2593440,1873337,743156,2632928,1932081,852254,2671499,1976843
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",963633,2611053,1635067,882129,2567425,1493582,928343,2593440,1601776,1012500,2632928,1694576,1121240,2671499,1743315
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",937167,2611053,1673664,867017,2567425,1525217,896158,2593440,1630900,975901,2632928,1722517,1094029,2671499,1777530
