"scenario","income","Rt","Vaccine","life_years_saved_med","life_years_saved_undiscounted_med","productive_life_years_saved_med","productive_life_years_saved_undiscounted_med","economic_productive_loss_med","economic_productive_loss_undiscounted_med","economic_lives_saved_med","economic_life_years_saved_med","economic_life_years_saved_undiscounted_med","life_years_saved_025","life_years_saved_undiscounted_025","productive_life_years_saved_025","productive_life_years_saved_undiscounted_025","economic_productive_loss_025","economic_productive_loss_undiscounted_025","economic_lives_saved_025","economic_life_years_saved_025","economic_life_years_saved_undiscounted_025","life_years_saved_25","life_years_saved_undiscounted_25","productive_life_years_saved_25","productive_life_years_saved_undiscounted_25","economic_productive_loss_25","economic_productive_loss_undiscounted_25","economic_lives_saved_25","economic_life_years_saved_25","economic_life_years_saved_undiscounted_25","life_years_saved_75","life_years_saved_undiscounted_75","productive_life_years_saved_75","productive_life_years_saved_undiscounted_75","economic_productive_loss_75","economic_productive_loss_undiscounted_75","economic_lives_saved_75","economic_life_years_saved_75","economic_life_years_saved_undiscounted_75","life_years_saved_975","life_years_saved_undiscounted_975","productive_life_years_saved_975","productive_life_years_saved_undiscounted_975","economic_productive_loss_975","economic_productive_loss_undiscounted_975","economic_lives_saved_975","economic_life_years_saved_975","economic_life_years_saved_undiscounted_975"
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",22951973.4292051,33652559.8989572,12304824.9886564,20334623.0921289,697099615814.047,1147084457104.95,16690049418357.3,10425958842403.9,7841050311098.42,20265566.5343404,29119902.0980834,9686183.41503422,15845505.7086022,531971796453.63,869740362629.304,14946267951883.2,8896331674038.29,6533307097941.5,21449379.8134236,30848601.9561931,10722010.7494118,17604112.2997633,599303477371.769,983145352242.172,16097163904954.6,9616604968830.16,7043006722686.97,24600762.7952799,37030747.0059115,14386324.5895954,24005273.1592384,852366366504.71,1426372441481.21,17347447321026.3,11392235404319.2,8770637033636.14,26391781.6962584,40109941.713778,15854977.1602858,26538412.2554652,963015047462.804,1613743448001.44,17831180399257.6,12211886901957.6,9583311817842.66
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",23434777.1256466,34460488.8795386,12557638.1832671,20720586.4337447,706536953877.844,1166360070272.38,17090918408502.3,10619658092653.2,7944731106424.14,20798233.3571601,29846077.4235392,9996728.55262269,16270095.4113231,546338441061.378,889967447365.615,15302902469139.8,9075603403410.65,6634372344718.77,22060744.5508343,31667436.6813291,10894643.8086867,17905647.7496278,609364700246.927,996450207327.412,16404165917747.5,9839038813309.47,7219644219320.34,25237782.9417891,38062659.4115159,14737021.1885317,24503667.595738,870344929628.224,1455252836357.56,17597651189554.9,11595671871832.2,8960511414509.07,26808455.5626749,40856042.3486505,16367204.7050743,27384092.5353912,980590688456.474,1641781614487.25,18088454349420.1,12398436090898.5,9723364947690.5
1,"LIC","History Based","100-Day Mission",3775037.64782981,5605245.80397693,2515684.09665193,3910257.70903033,5564252887.76949,8678859243.57338,18956762158.3499,10826971188.3402,7875797337.63389,3357677.35090168,4906683.5973539,2143828.2716484,3310772.7035451,4777954225.22128,7410035657.07047,17390908469.5481,9656446694.57943,6933066566.57679,3618475.25272535,5363352.24779551,2407933.312516,3716365.18310975,5361086500.11568,8359991512.95705,18309342468.0318,10484510500.3578,7612527602.21787,4005934.1646542,5995163.12904204,2724973.81837158,4223191.52727134,6047572110.95402,9415774285.92734,19844951388.0151,11506969820.3847,8411717783.43602,4289480.39489515,6400508.77548222,2938201.00017392,4572380.63220718,6526873051.36668,10253210479.393,21117073657.3704,12351301718.7912,9071166658.3133
2,"LIC","Target Based","100-Day Mission",-501541.9245827,-1154032.81091153,-700222.013072991,-1229409.53649556,-1354869334.80458,-2327125539.72435,983788182.546617,-868354425.11722,-1214911563.80608,-2357586.57444043,-4073915.54737346,-2121783.49096858,-3493982.74494782,-4261174533.14846,-7057572430.07512,-7180217263.24517,-6324639838.68995,-5358208375.59379,-1029723.90409593,-1985674.90952935,-1122611.19097796,-1870445.72558089,-2092856029.91364,-3549355214.29252,-933523485.401282,-2105637180.71826,-2211507901.25994,65027.6022562582,-240614.52085247,-214162.015836567,-420316.247381523,-208533709.067549,-522898061.688931,3865134183.34714,1031372350.08218,281149963.136196,687347.972127574,770366.134023841,235344.00684854,307904.847966513,965310605.342382,1402035365.22869,6974352982.23878,3065876259.19507,1890740093.79608
3,"LIC","Economic Based","100-Day Mission",2417057.37306156,3446691.59722581,1521084.49075582,2313360.67605547,3407589628.63827,5226257088.20533,13322097668.1271,7044922645.0269,4912992896.4824,1210397.02581947,1494508.5488538,499839.710632693,634024.801828375,1151265739.34428,1516790679.70225,8006713073.36278,3623377487.73414,2183914655.84676,1995206.28938674,2759037.7145369,1167548.06550153,1740409.2736517,2646963049.27849,3966225127.96596,11296001662.0176,5670901707.69082,3870967656.09014,2783915.76162592,4035649.36048163,1798443.99793664,2774302.36355284,4088217722.35602,6330703307.75397,14978873954.7246,8428411793.96197,6043218604.7203,3282936.66075179,4847612.58923109,2209525.97388373,3402267.14538584,4944226119.15182,7676410209.74059,17219043021.9345,9847832003.75188,7110870834.45722
4,"LIC","History Based","100-Day Mission & Manufacturing",6780335.2510512,10039654.2978083,4589805.92349235,7125355.39732588,10049489234.9319,15643118280.6679,33306344060.1888,19224584642.9393,14005321424.2107,5930799.40917595,8772096.9499762,3994347.73153882,6111041.00790188,8682153884.47394,13372442168.0591,28908197084.9977,16623686857.3552,11974104832.4203,6472789.97428828,9542503.55529474,4328024.67296661,6679870.75669555,9476346878.69068,14701774839.1999,31440426078.6638,18090013534.9688,13076475237.8808,7063204.6594636,10522733.6531185,4875957.5075959,7611420.85319948,10740385922.8673,16888325174.3373,34599705633.8659,20275373847.1708,14832395825.6059,7642347.82967672,11554636.7034753,5358540.09877337,8428213.44746339,11790707929.2946,18679609434.6463,36290930419.0577,21761707269.7241,16146979732.7014
5,"LIC","Target Based","100-Day Mission & Manufacturing",2476597.80972488,3152000.73616068,1305290.16651198,1851693.07127415,3676094737.58486,5345046340.77191,17069916481.2279,8515453472.09056,5534023517.45691,518476.994187258,-19929.5587802182,-118909.018542139,-546051.82728969,412343723.512702,-55951648.7762955,10244914528.579,3463970117.0636,1445725236.52617,1970262.70503817,2337128.88697891,908440.07588292,1184768.51114408,2975409352.03712,4157250162.61895,15814077387.9142,7527106030.72091,4808044172.79971,2928463.97451945,3910965.32620052,1754797.34235118,2528299.12903437,4260545862.54079,6284635957.41317,18952989561.6265,9653607087.13441,6393822962.89325,3854587.53559105,5428151.38234273,2484917.6117916,3744364.69701774,5978197258.30099,9125979853.61793,22351525563.8644,12450040513.5351,8719135738.89024
6,"LIC","Economic Based","100-Day Mission & Manufacturing",3478592.93330599,4877942.75824128,2252119.34659107,3358352.96941787,5425339611.38866,8226346707.25905,20637778483.4908,11274441853.5286,7825321584.78374,1998255.32572622,2502677.78078103,1097774.51731022,1438131.8660697,3102179474.53621,4280899534.61856,13430958517.419,6496116946.45439,4050345390.4203,3000957.3303575,4069797.56444614,1866177.7666538,2701609.07672931,4561822403.92509,6854228804.10236,18686389285.0928,9864471908.20916,6697441617.20554,3802660.49341915,5403327.07724713,2527420.1818935,3771202.58189213,6326029310.48689,9642272034.97744,22914432454.3436,12828091794.5919,8983389266.39733,4558353.34841869,6618491.1287845,3084800.6977949,4724895.90289267,7508860084.5695,11707803891.7762,26614491074.3457,15181704146.7738,10886712989.427
7,"LIC","History Based","100-Day Mission & Infrastructure",7438761.90323556,11167202.0349822,5210395.64943965,8090871.60617192,11198682747.3022,17559322746.3792,34557051326.0052,20475022683.0236,15058212663.5442,6704244.9859229,9952249.19927881,4612469.81999537,7101640.62771966,9841844156.65475,15241995588.6843,30898088586.0083,18258940690.2709,13311055805.3081,7194700.11398223,10699931.3091338,4985887.73280974,7730506.11400729,10635067241.1395,16515278199.305,33331675560.2256,19578705185.3609,14334378521.0327,7669282.29473927,11548050.8003927,5441948.33388125,8506612.08502052,11719966037.066,18413691852.5115,35636241223.3336,21340562399.6785,15724966604.5527,8082903.01172684,12304089.2189076,5823325.24853122,9158045.65110094,12627539692.341,19997000556.9622,36883304310.0633,22662726525.8117,16914179229.1919
8,"LIC","Target Based","100-Day Mission & Infrastructure",4277686.07017091,6057294.63262438,2903482.82561049,4378376.70055935,6092488140.254,9211898669.89435,21368465209.1736,11801330536.3475,8219901435.7171,2846540.374268,3745053.72063886,1846289.88677727,2602497.20435966,3654768880.22599,5149073975.183,14915305846.3089,7355300410.87848,4654771070.00865,3830465.19029129,5355252.0503411,2649305.3621262,3959466.14164837,5592108850.86653,8343237912.13374,19634514998.7877,10643536211.129,7355664829.5604,4612493.89787984,6620130.71450588,3169876.42832292,4796299.7206246,6777030666.281,10298477814.0203,22908353746.0751,12786621092.9434,9061132889.58718,5280830.24909532,7727753.23843199,3739698.5667237,5729032.85770322,7949207861.68531,12249870526.2698,25540305232.3207,14752444484.6885,10540312901.8309
