"scenario","Rt","Vaccine","gain_in_openness_med","gain_in_openness_025","gain_in_openness_25","gain_in_openness_75","gain_in_openness_975"
1,"History Based","100-Day Mission",0,0,0,0,0
2,"Target Based","100-Day Mission",15796.3484563416,15341.2265614426,15647.4526620862,15995.2806526888,16227.6692334414
3,"Economic Based","100-Day Mission",13700.6140893097,13368.1803132518,13568.8305757283,13821.8692430271,14070.4320556601
4,"History Based","100-Day Mission & Manufacturing",0,0,0,0,0
5,"Target Based","100-Day Mission & Manufacturing",24585.4365390541,23882.7685980542,24318.7504075137,24818.1433011412,25105.9632929454
6,"Economic Based","100-Day Mission & Manufacturing",20041.5152179552,19496.8269168173,19832.6665619445,20221.1772316163,20459.6135009763
7,"History Based","100-Day Mission & Infrastructure",0,0,0,0,0
8,"Target Based","100-Day Mission & Infrastructure",21663.6728917064,21041.5262373377,21460.2677868928,21903.5259483783,22122.2171280555
9,"Economic Based","100-Day Mission & Infrastructure",17115.3917109377,16663.8434232632,16967.5361651423,17298.0630681124,17471.4111898384
10,"History Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",27978.6532880336,27277.2773517563,27768.0884457257,28294.1183338906,28580.0378045406
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",22461.6933882494,21839.9740330743,22269.4812992695,22685.1167464112,22897.8140925017
