"scenario","Rt","Vaccine","days_med","days_baseline_med","days_extra_med","days_025","days_baseline_025","days_extra_025","days_25","days_baseline_25","days_extra_25","days_75","days_baseline_75","days_extra_75","days_975","days_baseline_975","days_extra_975"
1,"History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,15,0,15,52,0,52
2,"Target Based","100-Day Mission",348,0,348,110,0,110,240,0,240,469,0,469,624,0,624
3,"Economic Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,120,0,120
4,"History Based","100-Day Mission & Manufacturing",4,0,4,0,0,0,0,0,0,60,0,60,119,0,119
5,"Target Based","100-Day Mission & Manufacturing",124,0,124,0,0,0,0,0,0,245,0,245,383,0,383
6,"Economic Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,114,0,114
7,"History Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,7,0,7,50,0,50
8,"Target Based","100-Day Mission & Infrastructure",236,0,236,0,0,0,126,0,126,343,0,343,492,0,492
9,"Economic Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,118,0,118
10,"History Based","100-Day Mission Total (Manu. & Infr.)",6,0,6,0,0,0,0,0,0,60,0,60,118,0,118
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,115,0,115,248,0,248
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,115,0,115
