"scenario","income","Rt","Vaccine","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
1,"HIC","History Based","100-Day Mission",373550002.709591,689871389.257346,326016168.720197,210889074.07069,504080193.134385,271851407.945902,251074862.098821,575501065.498516,308096468.388068,424640959.082278,771947911.252198,345114269.939023,486850606.345992,826387551.656244,384868790.80584
2,"HIC","Target Based","100-Day Mission",484772579.427841,689871389.257346,216717037.469735,306260684.793974,504080193.134385,165186267.476069,374777976.028006,575501065.498516,199501853.972051,540616420.673208,771947911.252198,236700681.446812,597802457.264981,826387551.656244,271860781.289577
3,"HIC","Economic Based","100-Day Mission",573195295.000982,689871389.257346,111027160.845531,413121658.022433,504080193.134385,70560134.6614053,476628580.593095,575501065.498516,96281033.4530812,648266423.907269,771947911.252198,126706087.734593,705407318.915158,826387551.656244,156053883.77576
4,"HIC","History Based","100-Day Mission & Manufacturing",263908824.97465,689871389.257346,393100717.353135,176347090.698896,504080193.134385,316163586.107341,205195400.508881,575501065.498516,359793919.462076,352834775.043826,771947911.252198,431357817.026792,406846553.206299,826387551.656244,491461625.693029
5,"HIC","Target Based","100-Day Mission & Manufacturing",397773378.348654,689871389.257346,267426777.592054,281116160.079267,504080193.134385,196188720.384691,333368567.531832,575501065.498516,234045845.255291,474411514.554067,771947911.252198,302380993.777719,575024161.89332,826387551.656244,344418906.43371
6,"HIC","Economic Based","100-Day Mission & Manufacturing",399601396.585219,689871389.257346,264727480.807581,289938311.156538,504080193.134385,195273152.524963,337418053.327626,575501065.498516,231900162.342279,481633307.320755,771947911.252198,296233429.62706,565993341.64135,826387551.656244,337323476.11223
7,"HIC","History Based","100-Day Mission & Infrastructure",258710410.533904,689871389.257346,382643013.429025,179434328.482643,504080193.134385,314817676.386681,205906011.344152,575501065.498516,351163316.196742,371379779.262972,771947911.252198,421174922.580448,418812114.023488,826387551.656244,499183808.261534
8,"HIC","Target Based","100-Day Mission & Infrastructure",446183600.405334,689871389.257346,231374145.767279,306882350.473422,504080193.134385,163696088.399799,368947189.912884,575501065.498516,203593791.749051,521557460.533289,771947911.252198,251184722.408229,600692845.515898,826387551.656244,290879964.304803
9,"HIC","Economic Based","100-Day Mission & Infrastructure",421660035.069856,689871389.257346,242179178.492826,296748342.075252,504080193.134385,171158581.510291,351109797.394414,575501065.498516,218954482.080875,507825631.885378,771947911.252198,275113921.329439,600720290.561585,826387551.656244,302516695.49163
10,"HIC","History Based","100-Day Mission Total (Manu. & Infr.)",227732433.836545,689871389.257346,434894939.405225,164067009.444813,504080193.134385,334105230.984845,187409452.110527,575501065.498516,379397946.897879,305748957.572013,771947911.252198,477908270.942678,358899078.015988,826387551.656244,540105635.45466
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",394810994.064101,689871389.257346,274507550.021789,279693794.973467,504080193.134385,200291081.265299,329688527.36134,575501065.498516,232476703.180838,465621778.076814,771947911.252198,309315192.466701,556703975.153481,826387551.656244,356261724.084428
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",380200605.853715,689871389.257346,288453259.776911,271377954.666934,504080193.134385,216577836.827432,316611825.062943,575501065.498516,251694078.176299,451690234.381785,771947911.252198,322830140.780567,546033249.165899,826387551.656244,376282274.512961
1,"LIC","History Based","100-Day Mission",211864296.384552,266699424.695944,60145913.6797742,141670356.489447,201858011.276792,46163806.2133687,189767450.167969,249007169.317234,55330483.5017739,238111088.19316,297856386.845066,64629675.4599789,278410789.767414,342280522.813786,73572421.1013093
2,"LIC","Target Based","100-Day Mission",288589837.715528,266699424.695944,-20882566.9056641,223407173.104703,201858011.276792,-41045510.594735,270696703.038382,249007169.317234,-28904550.6738812,315498261.514131,297856386.845066,-14080799.1532116,364993043.673894,342280522.813786,-2776368.10976942
