"scenario","income","Rt","Vaccine","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
3,"LIC","Economic Based","100-Day Mission",238506592.743525,266699424.695944,30336812.7432515,170128274.990941,201858011.276792,13188209.2198834,216997736.629446,249007169.317234,24122450.5082536,264057236.845137,297856386.845066,36601417.6705561,308406813.763829,342280522.813786,46236651.2403008
4,"LIC","History Based","100-Day Mission & Manufacturing",143691448.152691,266699424.695944,125038005.616234,79708639.8844537,201858011.276792,100011421.080216,120369234.780309,249007169.317234,113686475.248601,171948302.523753,297856386.845066,137769668.453717,219936899.373286,342280522.813786,153121020.72943
5,"LIC","Target Based","100-Day Mission & Manufacturing",253531854.631032,266699424.695944,13472152.9875872,191352819.610221,201858011.276792,-13944677.8710593,235659204.368954,249007169.317234,2570141.25400648,277212020.746633,297856386.845066,24281366.150445,325701907.350907,342280522.813786,36954389.2378281
6,"LIC","Economic Based","100-Day Mission & Manufacturing",224574366.951996,266699424.695944,43746271.5915744,163996368.23434,201858011.276792,18201129.0309488,209077613.500369,249007169.317234,35106774.530194,247679710.526526,297856386.845066,50877055.2669389,300866240.15255,342280522.813786,64372406.9475677
7,"LIC","History Based","100-Day Mission & Infrastructure",119970270.830331,266699424.695944,146111315.385633,67831980.1267519,201858011.276792,110011725.600133,99572270.5519514,249007169.317234,135990793.479031,143109571.067382,297856386.845066,159212214.854459,194872502.530114,342280522.813786,176390299.500891
8,"LIC","Target Based","100-Day Mission & Infrastructure",221142929.553308,266699424.695944,46175349.978676,174524161.074159,201858011.276792,17406156.2520537,206143171.636455,249007169.317234,35870712.414273,243310131.687017,297856386.845066,54997742.7978716,289680159.217717,342280522.813786,69895748.6279032
9,"LIC","Economic Based","100-Day Mission & Infrastructure",179604666.512397,266699424.695944,86633025.8410058,132736203.497732,201858011.276792,58600998.6885075,164106448.22853,249007169.317234,79040995.8082106,200121933.221098,297856386.845066,96444706.1085832,248086864.627533,342280522.813786,114422194.262725
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",61392546.5151317,266699424.695944,201447001.178443,24299016.2648396,201858011.276792,151965971.134839,47924391.1992862,249007169.317234,187637067.787973,84827830.7135629,297856386.845066,220081794.478758,132230666.232468,342280522.813786,246628764.79837
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",166326115.527617,266699424.695944,102772485.682476,110282841.577215,201858011.276792,71475350.6510277,147839854.043764,249007169.317234,91638568.7290912,187879874.984232,297856386.845066,109950616.399238,254625972.131669,342280522.813786,130499682.178052
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",132851080.8206,266699424.695944,134261060.378755,69801270.4365387,201858011.276792,100008933.029421,109863149.596078,249007169.317234,124590376.049955,160157150.111957,297856386.845066,145864097.74203,224767830.516932,342280522.813786,167047066.592186
1,"LMIC","History Based","100-Day Mission",746687265.986011,1965044601.26958,1025578796.6972,502410600.518781,1352076180.09909,699326026.06548,636423060.115118,1664614304.61701,880803092.24938,1413121733.05339,2326279351.83409,1158813833.40283,1818414278.0245,2851014468.77113,1518883012.57144
2,"LMIC","Target Based","100-Day Mission",1652795481.33689,1965044601.26958,268820252.826549,1032063847.35716,1352076180.09909,-77339743.38238,1399415826.4883,1664614304.61701,191278794.092859,2109759565.67454,2326279351.83409,313629510.452102,2739076471.43722,2851014468.77113,432746702.775184
3,"LMIC","Economic Based","100-Day Mission",1088112924.53314,1965044601.26958,735267532.274221,721585450.593112,1352076180.09909,513176642.265288,906679079.556538,1664614304.61701,627151167.076255,1677802808.31528,2326279351.83409,821575833.083083,2044711171.98496,2851014468.77113,1009746643.85858
4,"LMIC","History Based","100-Day Mission & Manufacturing",480075074.789871,1965044601.26958,1326206820.54994,316046895.309693,1352076180.09909,939277993.153607,398276408.288492,1664614304.61701,1142318368.2298,612296535.719023,2326279351.83409,1553219488.51183,1705676952.96983,2851014468.77113,1883756519.5782
5,"LMIC","Target Based","100-Day Mission & Manufacturing",1252374709.5852,1965044601.26958,602986426.441563,780812160.088245,1352076180.09909,79717580.9080702,1006951621.1107,1664614304.61701,389382573.658174,1761984287.98469,2326279351.83409,685357962.034791,2728799223.50746,2851014468.77113,937983575.158334
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",880437089.013831,1965044601.26958,901634173.417539,626082144.088342,1352076180.09909,619879936.239613,726465969.682318,1664614304.61701,780785135.405762,1515790528.27169,2326279351.83409,1012422285.40609,1933216150.48631,2851014468.77113,1348852211.67845
7,"LMIC","History Based","100-Day Mission & Infrastructure",561906911.521343,1965044601.26958,1235696813.69631,361509282.459445,1352076180.09909,869092000.602817,464219791.516063,1664614304.61701,1104564939.66668,725733652.230035,2326279351.83409,1464640690.54038,1759623654.99459,2851014468.77113,1810960413.48815
8,"LMIC","Target Based","100-Day Mission & Infrastructure",1173079090.28894,1965044601.26958,639731091.835755,766051462.708189,1352076180.09909,226803467.561162,983674125.689576,1664614304.61701,518044721.204171,1686865919.8499,2326279351.83409,744959873.272171,2462036373.34808,2851014468.77113,921560528.10426
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",885208477.179149,1965044601.26958,898902026.9925,620289397.784184,1352076180.09909,641667103.372066,745801786.774325,1664614304.61701,766335290.151717,1578849256.82613,2326279351.83409,1077730844.95291,1882874165.51325,2851014468.77113,1297501593.37737
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",354953208.762764,1965044601.26958,1474877001.00398,237803764.494145,1352076180.09909,1063249298.71839,301839069.753002,1664614304.61701,1283318803.71355,444319348.602419,2326279351.83409,1743988225.96206,1543035804.56542,2851014468.77113,2096505204.54758
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",915613201.799348,1965044601.26958,862335907.668145,553244409.072069,1352076180.09909,556061751.951802,721107019.975763,1664614304.61701,756192646.071992,1486417049.12708,2326279351.83409,1000240597.93818,2209677066.46092,2851014468.77113,1286980345.14571
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",642423530.42512,1965044601.26958,1133025218.72269,426423343.142814,1352076180.09909,834403695.717517,511030165.786032,1664614304.61701,992601657.561834,1223730767.10058,2326279351.83409,1289315962.26987,1767316694.59937,2851014468.77113,1621449156.08414
1,"UMIC","History Based","100-Day Mission",740895316.610263,1069039401.0595,324274934.730096,540802613.74301,847945933.569003,277517662.664492,666178028.54879,985790756.298908,303903191.288614,823918760.522758,1167485493.00217,348889966.979428,930343628.711001,1265143247.12475,382429664.711553
2,"UMIC","Target Based","100-Day Mission",1030792628.51072,1069039401.0595,38443884.5303381,786124627.777115,847945933.569003,-33534703.5609778,933474138.754106,985790756.298908,15760814.0115117,1139369717.94535,1167485493.00217,64703794.5969322,1261545008.41188,1265143247.12475,97858117.1080727
3,"UMIC","Economic Based","100-Day Mission",916861299.046575,1069039401.0595,158485404.096726,675495190.528691,847945933.569003,81500655.3170443,822011089.578761,985790756.298908,135226453.706084,1020902609.61411,1167485493.00217,178297444.688814,1129085514.69761,1265143247.12475,202468166.251483
4,"UMIC","History Based","100-Day Mission & Manufacturing",650399948.010257,1069039401.0595,411721232.251292,468209844.471069,847945933.569003,344996585.211654,585031587.875872,985790756.298908,384315432.315819,748827630.435674,1167485493.00217,438812964.616821,834407183.689077,1265143247.12475,485205679.046849
5,"UMIC","Target Based","100-Day Mission & Manufacturing",950854286.073093,1069039401.0595,107896711.315005,685154438.329922,847945933.569003,14269238.2194688,867884653.681369,985790756.298908,80265455.6698138,1065553363.01437,1167485493.00217,138532683.837226,1196306277.32961,1265143247.12475,198421389.593502
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",849863069.960982,1069039401.0595,210096879.146429,617915744.409783,847945933.569003,129044150.840414,775258398.822261,985790756.298908,187686198.887215,957098535.474928,1167485493.00217,235252355.13466,1065903180.16996,1265143247.12475,271255865.508445
7,"UMIC","History Based","100-Day Mission & Infrastructure",632599563.28765,1069039401.0595,428508803.81382,450547571.205486,847945933.569003,360243193.662325,572133547.418347,985790756.298908,402966338.321329,720345008.638426,1167485493.00217,465468798.327137,812099965.461555,1265143247.12475,500628324.427839
8,"UMIC","Target Based","100-Day Mission & Infrastructure",901207505.151351,1069039401.0595,173702637.663429,651000678.741249,847945933.569003,85245440.1233937,809445162.380826,985790756.298908,148126325.099518,1014900190.00149,1167485493.00217,194632183.100198,1120693652.1093,1265143247.12475,226954525.339969
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",817355527.801634,1069039401.0595,256710240.457827,584939094.344311,847945933.569003,170934881.047848,730662833.79703,985790756.298908,226214521.481555,918083838.698838,1167485493.00217,272514138.015831,1027579275.23316,1265143247.12475,301070641.222159
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",592995373.177365,1069039401.0595,487362711.839767,413339721.207285,847945933.569003,397059678.672115,520879525.645403,985790756.298908,445123235.902421,664846037.14196,1167485493.00217,512487272.950259,746445209.625699,1265143247.12475,548063687.450727
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",880357838.552292,1069039401.0595,185809975.256866,637344058.426581,847945933.569003,83444306.1031997,804440051.673604,985790756.298908,156565509.641964,979536374.727173,1167485493.00217,217356091.437723,1109033282.81723,1265143247.12475,261837093.683568
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",814617391.40774,1069039401.0595,260334177.232335,568766771.40039,847945933.569003,163725738.154145,738569603.248268,985790756.298908,231336298.261174,901185356.75396,1167485493.00217,286259072.371542,1016284887.13767,1265143247.12475,326119986.812833
