"scenario","Rt","Vaccine","date","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
1,"History Based","100-Day Mission","2019-11-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-01",1409,1409,0,1144,1144,0,1285,1285,0,1504,1504,0,1763,1763,0
1,"History Based","100-Day Mission","2019-12-02",2622,2622,0,2134,2134,0,2392,2392,0,2804,2804,0,3288,3288,0
1,"History Based","100-Day Mission","2019-12-03",3667,3667,0,2992,2992,0,3341,3341,0,3922,3922,0,4603,4603,0
1,"History Based","100-Day Mission","2019-12-04",4645,4645,0,3783,3783,0,4211,4211,0,4937,4937,0,5815,5815,0
1,"History Based","100-Day Mission","2019-12-05",5711,5711,0,4628,4628,0,5138,5138,0,5995,5995,0,7102,7102,0
1,"History Based","100-Day Mission","2019-12-06",6936,6936,0,5627,5627,0,6209,6209,0,7249,7249,0,8615,8615,0
1,"History Based","100-Day Mission","2019-12-07",8425,8425,0,6856,6856,0,7574,7574,0,8802,8802,0,10477,10477,0
1,"History Based","100-Day Mission","2019-12-08",10207,10207,0,8377,8377,0,9249,9249,0,10832,10832,0,12800,12800,0
1,"History Based","100-Day Mission","2019-12-09",12512,12512,0,10267,10267,0,11377,11377,0,13370,13370,0,15708,15708,0
1,"History Based","100-Day Mission","2019-12-10",15325,15325,0,12630,12630,0,14021,14021,0,16564,16564,0,19390,19390,0
1,"History Based","100-Day Mission","2019-12-11",18961,18961,0,15608,15608,0,17267,17267,0,20584,20584,0,24227,24227,0
1,"History Based","100-Day Mission","2019-12-12",23614,23614,0,19543,19543,0,21527,21527,0,25690,25690,0,30414,30414,0
1,"History Based","100-Day Mission","2019-12-13",29459,29459,0,24613,24613,0,27089,27089,0,32286,32286,0,38425,38425,0
1,"History Based","100-Day Mission","2019-12-14",36873,36873,0,30755,30755,0,34042,34042,0,40652,40652,0,49003,49003,0
1,"History Based","100-Day Mission","2019-12-15",46790,46790,0,39116,39116,0,42979,42979,0,51405,51405,0,62351,62351,0
1,"History Based","100-Day Mission","2019-12-16",59628,59628,0,49402,49402,0,54445,54445,0,65293,65293,0,79526,79526,0
1,"History Based","100-Day Mission","2019-12-17",75905,75905,0,62556,62556,0,69020,69020,0,82975,82975,0,101881,101881,0
1,"History Based","100-Day Mission","2019-12-18",96939,96939,0,79685,79685,0,89115,89115,0,106055,106055,0,130122,130122,0
1,"History Based","100-Day Mission","2019-12-19",125046,125046,0,101174,101174,0,113073,113073,0,136265,136265,0,167403,167403,0
1,"History Based","100-Day Mission","2019-12-20",78912,78912,0,63358,63358,0,72260,72260,0,86274,86274,0,106130,106130,0
1,"History Based","100-Day Mission","2019-12-21",97466,97466,0,77038,77038,0,89260,89260,0,105674,105674,0,132040,132040,0
1,"History Based","100-Day Mission","2019-12-22",114770,114770,0,89596,89596,0,105392,105392,0,123118,123118,0,155545,155545,0
1,"History Based","100-Day Mission","2019-12-23",131358,131358,0,101468,101468,0,119792,119792,0,140754,140754,0,178661,178661,0
1,"History Based","100-Day Mission","2019-12-24",148971,148971,0,113780,113780,0,135367,135367,0,159115,159115,0,204386,204386,0
1,"History Based","100-Day Mission","2019-12-25",168683,168683,0,126558,126558,0,149222,149222,0,180255,180255,0,231869,231869,0
1,"History Based","100-Day Mission","2019-12-26",189780,189780,0,140720,140720,0,167291,167291,0,204375,204375,0,262282,262282,0
1,"History Based","100-Day Mission","2019-12-27",212925,212925,0,156576,156576,0,187707,187707,0,233336,233336,0,297100,297100,0
1,"History Based","100-Day Mission","2019-12-28",238497,238497,0,174433,174433,0,210762,210762,0,266025,266025,0,337166,337166,0
1,"History Based","100-Day Mission","2019-12-29",272500,272500,0,195242,195242,0,237876,237876,0,304514,304514,0,389682,389682,0
1,"History Based","100-Day Mission","2019-12-30",308089,308089,0,217613,217613,0,267916,267916,0,350024,350024,0,453387,453387,0
1,"History Based","100-Day Mission","2019-12-31",347473,347473,0,242624,242624,0,302022,302022,0,401938,401938,0,536724,536724,0
1,"History Based","100-Day Mission","2020-01-01",395277,395277,0,273937,273937,0,341430,341430,0,457269,457269,0,639014,639014,0
1,"History Based","100-Day Mission","2020-01-02",451668,451668,0,309453,309453,0,382276,382276,0,532447,532447,0,764696,764696,0
1,"History Based","100-Day Mission","2020-01-03",250885,250885,0,187656,187656,0,217318,217318,0,287741,287741,0,370072,370072,0
1,"History Based","100-Day Mission","2020-01-04",278939,278939,0,204266,204266,0,238808,238808,0,315329,315329,0,414801,414801,0
1,"History Based","100-Day Mission","2020-01-05",299348,299348,0,216849,216849,0,255930,255930,0,338608,338608,0,447757,447757,0
1,"History Based","100-Day Mission","2020-01-06",312735,312735,0,226053,226053,0,268304,268304,0,355117,355117,0,469627,469627,0
1,"History Based","100-Day Mission","2020-01-07",322251,322251,0,233447,233447,0,278232,278232,0,367518,367518,0,484648,484648,0
1,"History Based","100-Day Mission","2020-01-08",331021,331021,0,240056,240056,0,285126,285126,0,379981,379981,0,496551,496551,0
1,"History Based","100-Day Mission","2020-01-09",340831,340831,0,244335,244335,0,291611,291611,0,393357,393357,0,507874,507874,0
1,"History Based","100-Day Mission","2020-01-10",343135,343135,0,243387,243387,0,290676,290676,0,399280,399280,0,512420,512420,0
1,"History Based","100-Day Mission","2020-01-11",351322,351322,0,248273,248273,0,299249,299249,0,411120,411120,0,524246,524246,0
1,"History Based","100-Day Mission","2020-01-12",361768,361768,0,254469,254469,0,307604,307604,0,421217,421217,0,540176,540176,0
1,"History Based","100-Day Mission","2020-01-13",374955,374955,0,262205,262205,0,319032,319032,0,434510,434510,0,557769,557769,0
