"scenario","income","Rt","Vaccine","hospitalisation_costs_averted_med","hospitalisation_costs_averted_025","hospitalisation_costs_averted_25","hospitalisation_costs_averted_75","hospitalisation_costs_averted_975","Variant"
1,"HIC","History Based","100-Day Mission",6859573768,5193103236,6238487308,7388174216,8313373089,"As it occurred"
2,"HIC","Target Based","100-Day Mission",5384989122,4128742691,4932659430,5857351722,6786587811,"As it occurred"
3,"HIC","Economic Based","100-Day Mission",4367689114,3063589939,3915252664,4915412885,5721551531,"As it occurred"
4,"HIC","History Based","100-Day Mission & Manufacturing",8488347703,5688390161,6987355059,9429425803,11161580526,"As it occurred"
5,"HIC","Target Based","100-Day Mission & Manufacturing",7438905443,4884117772,6233549144,8549707644,10175243775,"As it occurred"
6,"HIC","Economic Based","100-Day Mission & Manufacturing",7434509233,4863950051,6190932112,8514698537,10157805943,"As it occurred"
7,"HIC","History Based","100-Day Mission & Infrastructure",8286594417,5592689725,6854531665,9156384327,10230941897,"As it occurred"
8,"HIC","Target Based","100-Day Mission & Infrastructure",6930791329,4563349502,5763789236,7543517366,8780624578,"As it occurred"
9,"HIC","Economic Based","100-Day Mission & Infrastructure",7064144404,4633325007,5834110394,7788295254,8934196458,"As it occurred"
10,"HIC","History Based","100-Day Mission Total (Manu. & Infr.)",9234745937,5908820634,7230082175,10146743284,12162961680,"As it occurred"
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",7922201576,5077515863,6453572966,8961655201,10742290265,"As it occurred"
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",8072477532,5183319770,6640687708,9118100699,10831074917,"As it occurred"
1,"LIC","History Based","100-Day Mission",14307514,10726534,13290285,15360957,18108807,"As it occurred"
2,"LIC","Target Based","100-Day Mission",513917,-6669390,-1221945,2513592,5446741,"As it occurred"
3,"LIC","Economic Based","100-Day Mission",9213018,3591230,7549919,11033271,13466168,"As it occurred"
4,"LIC","History Based","100-Day Mission & Manufacturing",27254201,19847527,24688757,29575019,34384016,"As it occurred"
5,"LIC","Target Based","100-Day Mission & Manufacturing",14698004,7437861,11861132,17133477,21688912,"As it occurred"
6,"LIC","Economic Based","100-Day Mission & Manufacturing",16530876,9922802,14439063,18794127,22033756,"As it occurred"
7,"LIC","History Based","100-Day Mission & Infrastructure",29194258,21353522,25849670,31306486,35813126,"As it occurred"
8,"LIC","Target Based","100-Day Mission & Infrastructure",17667245,10650275,15024974,20507132,24469236,"As it occurred"
9,"LIC","Economic Based","100-Day Mission & Infrastructure",21308429,14246557,19168436,23643560,26830022,"As it occurred"
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",37449100,26620590,34127726,40843659,47148570,"As it occurred"
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",28844731,21149326,26305606,31795948,36374521,"As it occurred"
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",30994199,22051662,28179897,33631928,37938785,"As it occurred"
1,"LMIC","History Based","100-Day Mission",1051624491,793443860,928974734,1181668286,1414307948,"As it occurred"
2,"LMIC","Target Based","100-Day Mission",644684848,481323605,573407724,747847661,990797160,"As it occurred"
3,"LMIC","Economic Based","100-Day Mission",866666676,665235407,777290971,982518167,1126451558,"As it occurred"
4,"LMIC","History Based","100-Day Mission & Manufacturing",1270042248,956823107,1111803179,1508800982,1933985072,"As it occurred"
5,"LMIC","Target Based","100-Day Mission & Manufacturing",968006381,684687689,870792880,1143974617,1509336942,"As it occurred"
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",1105645355,810191975,985668285,1260090299,1595282561,"As it occurred"
7,"LMIC","History Based","100-Day Mission & Infrastructure",1191367206,892007762,1042607093,1432461301,1740766761,"As it occurred"
8,"LMIC","Target Based","100-Day Mission & Infrastructure",945833709,725143211,850822721,1072667649,1310158501,"As it occurred"
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",1078407451,790624942,941395093,1220959279,1412812360,"As it occurred"
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",1385815152,1018480219,1212149149,1645466070,2058103208,"As it occurred"
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",1143716817,848745539,1031512452,1320044282,1707190380,"As it occurred"
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",1250558018,915028295,1104868138,1431453524,1785961938,"As it occurred"
1,"UMIC","History Based","100-Day Mission",1800872806,1367852627,1602316058,2041649823,2314031481,"As it occurred"
2,"UMIC","Target Based","100-Day Mission",1006491036,496199814,832932865,1187177330,1563785646,"As it occurred"
3,"UMIC","Economic Based","100-Day Mission",1367761209,1035042738,1245857057,1538578664,1844635216,"As it occurred"
4,"UMIC","History Based","100-Day Mission & Manufacturing",2197493691,1648501819,1916228192,2392407154,2763373278,"As it occurred"
5,"UMIC","Target Based","100-Day Mission & Manufacturing",1477022809,953124925,1303003679,1668879757,2040115862,"As it occurred"
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",1730487152,1363448245,1591759345,1995922182,2340020823,"As it occurred"
7,"UMIC","History Based","100-Day Mission & Infrastructure",2327701544,1792537008,2060247291,2591690003,3012802229,"As it occurred"
8,"UMIC","Target Based","100-Day Mission & Infrastructure",1557656023,1179355106,1400557601,1751901909,2211110570,"As it occurred"
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",1856380311,1553506337,1718927206,2113469319,2540899766,"As it occurred"
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",2616658668,1952143658,2182244853,2867267869,3308769684,"As it occurred"
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",1772695520,1244330419,1573278078,2039285561,2462807710,"As it occurred"
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",2081102516,1628427781,1881773316,2397899016,2840674257,"As it occurred"
