"iso3c","Dim2","lg","age_group"
"AUS","25-29 years",58.595,"25-30"
"AUS","30-34 years",53.72,"30-35"
"AUS","35-39 years",48.865,"35-40"
"AUS","40-44 years",44.055,"40-45"
"AUS","45-49 years",39.305,"45-50"
"AUS","50-54 years",34.63,"50-55"
"AUS","55-59 years",30.05,"55-60"
"AUS","60-64 years",25.6,"60-65"
"AUS","65-69 years",21.28,"65-70"
"AUS","70-74 years",17.125,"70-75"
"AUS","75-79 years",13.225,"75-80"
"AUS","80+",9.685,"80+"
"AUT","0-4",81.61,"0-5"
"AUT","5-9 years",76.91,"5-10"
"AUT","10-14 years",71.935,"10-15"
"AUT","15-19  years",66.97,"15-20"
"AUT","20-24 years",62.055,"20-25"
"AUT","25-29 years",57.16,"25-30"
"AUT","30-34 years",52.265,"30-35"
"AUT","35-39 years",47.395,"35-40"
"AUT","40-44 years",42.545,"40-45"
"AUT","45-49 years",37.74,"45-50"
"AUT","50-54 years",33.04,"50-55"
"AUT","55-59 years",28.44,"55-60"
"AUT","60-64 years",24.015,"60-65"
"AUT","65-69 years",19.81,"65-70"
"AUT","70-74 years",15.905,"70-75"
"AUT","75-79 years",12.26,"75-80"
"AUT","80+",8.85,"80+"
"AZE","0-4",71.84,"0-5"
"AZE","5-9 years",67.995,"5-10"
"AZE","10-14 years",63.1,"10-15"
"AZE","15-19  years",58.185,"15-20"
"AZE","20-24 years",53.34,"20-25"
"AZE","25-29 years",48.54,"25-30"
"AZE","30-34 years",43.735,"30-35"
"AZE","35-39 years",38.965,"35-40"
"AZE","40-44 years",34.245,"40-45"
"AZE","45-49 years",29.64,"45-50"
"AZE","50-54 years",25.175,"50-55"
"AZE","55-59 years",20.935,"55-60"
"AZE","60-64 years",16.985,"60-65"
"AZE","65-69 years",13.4,"65-70"
"AZE","70-74 years",10.29,"70-75"
"AZE","75-79 years",7.515,"75-80"
"AZE","80+",5.18,"80+"
"BDI","0-4",65.55,"0-5"
"BDI","5-9 years",62.7,"5-10"
"BDI","10-14 years",58.42,"10-15"
"BDI","15-19  years",53.97,"15-20"
"BDI","20-24 years",49.345,"20-25"
"BDI","25-29 years",44.815,"25-30"
"BDI","30-34 years",40.31,"30-35"
"BDI","35-39 years",35.865,"35-40"
"BDI","40-44 years",31.53,"40-45"
"BDI","45-49 years",27.4,"45-50"
"BDI","50-54 years",23.465,"50-55"
"BDI","55-59 years",19.81,"55-60"
"BDI","60-64 years",16.425,"60-65"
"BDI","65-69 years",13.405,"65-70"
"BDI","70-74 years",10.655,"70-75"
"BDI","75-79 years",8.32,"75-80"
"BDI","80+",6.285,"80+"
"BEL","0-4",81.4,"0-5"
"BEL","5-9 years",76.675,"5-10"
"BEL","10-14 years",71.7,"10-15"
"BEL","15-19  years",66.735,"15-20"
"BEL","20-24 years",61.8,"20-25"
"BEL","25-29 years",56.895,"25-30"
"BEL","30-34 years",52.01,"30-35"
"BEL","35-39 years",47.145,"35-40"
"BEL","40-44 years",42.31,"40-45"
"BEL","45-49 years",37.54,"45-50"
"BEL","50-54 years",32.865,"50-55"
"BEL","55-59 years",28.29,"55-60"
"BEL","60-64 years",23.955,"60-65"
"BEL","65-69 years",19.86,"65-70"
"BEL","70-74 years",15.965,"70-75"
"BEL","75-79 years",12.3,"75-80"
"BEL","80+",8.875,"80+"
"BEN","0-4",66.43,"0-5"
"BEN","5-9 years",64.67,"5-10"
"BEN","10-14 years",60.455,"10-15"
"BEN","15-19  years",55.875,"15-20"
"BEN","20-24 years",51.2,"20-25"
"BEN","25-29 years",46.595,"25-30"
"BEN","30-34 years",42.03,"30-35"
"BEN","35-39 years",37.535,"35-40"
"BEN","40-44 years",33.14,"40-45"
"BEN","45-49 years",28.895,"45-50"
"BEN","50-54 years",24.795,"50-55"
"BEN","55-59 years",20.945,"55-60"
"BEN","60-64 years",17.325,"60-65"
"BEN","65-69 years",14.075,"65-70"
"BEN","70-74 years",11.14,"70-75"
"BEN","75-79 years",8.695,"75-80"
"BEN","80+",6.61,"80+"
"BFA","0-4",65.215,"0-5"
"BFA","5-9 years",63.55,"5-10"
"BFA","10-14 years",59.23,"10-15"
"BFA","15-19  years",54.6,"15-20"
"BFA","20-24 years",49.98,"20-25"
"BFA","25-29 years",45.44,"25-30"
"BFA","30-34 years",40.94,"30-35"
"BFA","35-39 years",36.49,"35-40"
"BFA","40-44 years",32.135,"40-45"
"BFA","45-49 years",27.935,"45-50"
"BFA","50-54 years",23.905,"50-55"
"BFA","55-59 years",20.15,"55-60"
"BFA","60-64 years",16.645,"60-65"
"BFA","65-69 years",13.52,"65-70"
"BFA","70-74 years",10.705,"70-75"
"BFA","75-79 years",8.385,"75-80"
"BFA","80+",6.42,"80+"
"BGD","0-4",75.245,"0-5"
"BGD","5-9 years",71.635,"5-10"
"BGD","10-14 years",66.88,"10-15"
"BGD","15-19  years",62.095,"15-20"
"BGD","20-24 years",57.29,"20-25"
"BGD","25-29 years",52.5,"25-30"
"BGD","30-34 years",47.715,"30-35"
"BGD","35-39 years",42.935,"35-40"
"BGD","40-44 years",38.205,"40-45"
"BGD","45-49 years",33.575,"45-50"
"BGD","50-54 years",29.09,"50-55"
"BGD","55-59 years",24.93,"55-60"
"BGD","60-64 years",20.895,"60-65"
"BGD","65-69 years",17.175,"65-70"
"BGD","70-74 years",13.755,"70-75"
"BGD","75-79 years",10.61,"75-80"
"BGD","80+",7.665,"80+"
"BGR","0-4",75.125,"0-5"
"BGR","5-9 years",70.62,"5-10"
"BGR","10-14 years",65.67,"10-15"
"BGR","15-19  years",60.73,"15-20"
"BGR","20-24 years",55.855,"20-25"
"BGR","25-29 years",50.99,"25-30"
"BGR","30-34 years",46.16,"30-35"
"BGR","35-39 years",41.36,"35-40"
"BGR","40-44 years",36.64,"40-45"
"BGR","45-49 years",32.045,"45-50"
"BGR","50-54 years",27.645,"50-55"
"BGR","55-59 years",23.515,"55-60"
"BGR","60-64 years",19.69,"60-65"
"BGR","65-69 years",16.12,"65-70"
"BGR","70-74 years",12.8,"70-75"
"BGR","75-79 years",9.715,"75-80"
"BGR","80+",7,"80+"
"BHR","0-4",76.03,"0-5"
"BHR","5-9 years",71.605,"5-10"
"BHR","10-14 years",66.67,"10-15"
"BHR","15-19  years",61.725,"15-20"
"BHR","20-24 years",56.875,"20-25"
"BHR","25-29 years",52.055,"25-30"
"BHR","30-34 years",47.17,"30-35"
"BHR","35-39 years",42.34,"35-40"
"BHR","40-44 years",37.54,"40-45"
"BHR","45-49 years",32.735,"45-50"
"BHR","50-54 years",28.07,"50-55"
"BHR","55-59 years",23.47,"55-60"
"BHR","60-64 years",19.04,"60-65"
"BHR","65-69 years",14.965,"65-70"
"BHR","70-74 years",11.185,"70-75"
"BHR","75-79 years",7.835,"75-80"
"BHR","80+",5.535,"80+"
"BHS","0-4",73.22,"0-5"
"BHS","5-9 years",69.075,"5-10"
"BHS","10-14 years",64.145,"10-15"
"BHS","15-19  years",59.235,"15-20"
"BHS","20-24 years",54.505,"20-25"
"BHS","25-29 years",49.955,"25-30"
"BHS","30-34 years",45.5,"30-35"
"BHS","35-39 years",41.13,"35-40"
"BHS","40-44 years",36.85,"40-45"
"BHS","45-49 years",32.64,"45-50"
"BHS","50-54 years",28.525,"50-55"
"BHS","55-59 years",24.57,"55-60"
"BHS","60-64 years",20.755,"60-65"
"BHS","65-69 years",17.18,"65-70"
"BHS","70-74 years",13.88,"70-75"
"BHS","75-79 years",10.815,"75-80"
"BHS","80+",8.1,"80+"
"BIH","0-4",76.735,"0-5"
"BIH","5-9 years",72.205,"5-10"
"BIH","10-14 years",67.245,"10-15"
"BIH","15-19  years",62.285,"15-20"
"BIH","20-24 years",57.38,"20-25"
"BIH","25-29 years",52.51,"25-30"
"BIH","30-34 years",47.625,"30-35"
"BIH","35-39 years",42.77,"35-40"
"BIH","40-44 years",37.945,"40-45"
"BIH","45-49 years",33.21,"45-50"
"BIH","50-54 years",28.615,"50-55"
"BIH","55-59 years",24.21,"55-60"
"BIH","60-64 years",20.075,"60-65"
"BIH","65-69 years",16.185,"65-70"
"BIH","70-74 years",12.585,"70-75"
"BIH","75-79 years",9.505,"75-80"
"BIH","80+",6.945,"80+"
"BLR","0-4",74.635,"0-5"
"BLR","5-9 years",69.91,"5-10"
"BLR","10-14 years",64.945,"10-15"
"BLR","15-19  years",59.985,"15-20"
"BLR","20-24 years",55.07,"20-25"
"BLR","25-29 years",50.175,"25-30"
"BLR","30-34 years",45.345,"30-35"
"BLR","35-39 years",40.6,"35-40"
"BLR","40-44 years",35.97,"40-45"
"BLR","45-49 years",31.515,"45-50"
"BLR","50-54 years",27.215,"50-55"
"BLR","55-59 years",23.11,"55-60"
"BLR","60-64 years",19.26,"60-65"
"BLR","65-69 years",15.725,"65-70"
"BLR","70-74 years",12.545,"70-75"
"BLR","75-79 years",9.615,"75-80"
"BLR","80+",7.165,"80+"
"BLZ","0-4",74.565,"0-5"
"BLZ","5-9 years",70.475,"5-10"
"BLZ","10-14 years",65.56,"10-15"
"BLZ","15-19  years",60.65,"15-20"
"BLZ","20-24 years",55.93,"20-25"
"BLZ","25-29 years",51.36,"25-30"
"BLZ","30-34 years",46.91,"30-35"
"BLZ","35-39 years",42.53,"35-40"
"BLZ","40-44 years",38.1,"40-45"
"BLZ","45-49 years",33.72,"45-50"
"BLZ","50-54 years",29.49,"50-55"
"BLZ","55-59 years",25.43,"55-60"
"BLZ","60-64 years",21.625,"60-65"
"BLZ","65-69 years",18.01,"65-70"
"BLZ","70-74 years",14.565,"70-75"
"BLZ","75-79 years",11.41,"75-80"
"BLZ","80+",8.595,"80+"
"BOL","0-4",72.725,"0-5"
"BOL","5-9 years",69.08,"5-10"
"BOL","10-14 years",64.23,"10-15"
"BOL","15-19  years",59.345,"15-20"
"BOL","20-24 years",54.545,"20-25"
"BOL","25-29 years",49.79,"25-30"
"BOL","30-34 years",45.04,"30-35"
"BOL","35-39 years",40.32,"35-40"
"BOL","40-44 years",35.665,"40-45"
"BOL","45-49 years",31.11,"45-50"
"BOL","50-54 years",26.7,"50-55"
"BOL","55-59 years",22.5,"55-60"
"BOL","60-64 years",18.55,"60-65"
"BOL","65-69 years",14.94,"65-70"
"BOL","70-74 years",11.7,"70-75"
"BOL","75-79 years",8.915,"75-80"
"BOL","80+",6.59,"80+"
"BRA","0-4",75.92,"0-5"
"BRA","5-9 years",71.965,"5-10"
"BRA","10-14 years",67.035,"10-15"
"BRA","15-19  years",62.125,"15-20"
"BRA","20-24 years",57.485,"20-25"
"BRA","25-29 years",52.93,"25-30"
"BRA","30-34 years",48.305,"30-35"
"BRA","35-39 years",43.655,"35-40"
"BRA","40-44 years",39.07,"40-45"
"BRA","45-49 years",34.535,"45-50"
"BRA","50-54 years",30.125,"50-55"
"BRA","55-59 years",25.86,"55-60"
"BRA","60-64 years",21.8,"60-65"
"BRA","65-69 years",17.985,"65-70"
"BRA","70-74 years",14.43,"70-75"
"BRA","75-79 years",11.22,"75-80"
"BRA","80+",8.315,"80+"
"BRB","0-4",75.99,"0-5"
"BRB","5-9 years",71.925,"5-10"
"BRB","10-14 years",66.96,"10-15"
"BRB","15-19  years",62.04,"15-20"
"BRB","20-24 years",57.22,"20-25"
"BRB","25-29 years",52.45,"25-30"
"BRB","30-34 years",47.715,"30-35"
"BRB","35-39 years",43.035,"35-40"
"BRB","40-44 years",38.375,"40-45"
"BRB","45-49 years",33.78,"45-50"
"BRB","50-54 years",29.31,"50-55"
"BRB","55-59 years",24.965,"55-60"
"BRB","60-64 years",20.865,"60-65"
"BRB","65-69 years",17.065,"65-70"
"BRB","70-74 years",13.5,"70-75"
"BRB","75-79 years",10.365,"75-80"
"BRB","80+",7.665,"80+"
"BRN","0-4",74.375,"0-5"
"BRN","5-9 years",70.28,"5-10"
"BRN","10-14 years",65.37,"10-15"
"BRN","15-19  years",60.44,"15-20"
"BRN","20-24 years",55.53,"20-25"
"BRN","25-29 years",50.7,"25-30"
"BRN","30-34 years",45.935,"30-35"
"BRN","35-39 years",41.17,"35-40"
"BRN","40-44 years",36.515,"40-45"
"BRN","45-49 years",31.935,"45-50"
"BRN","50-54 years",27.525,"50-55"
"BRN","55-59 years",23.24,"55-60"
"BRN","60-64 years",19.175,"60-65"
"BRN","65-69 years",15.235,"65-70"
"BRN","70-74 years",11.61,"70-75"
"BRN","75-79 years",8.445,"75-80"
"BRN","80+",6.12,"80+"
"BTN","0-4",73.91,"0-5"
"BTN","5-9 years",70.26,"5-10"
"BTN","10-14 years",65.42,"10-15"
"BTN","15-19  years",60.71,"15-20"
"BTN","20-24 years",55.89,"20-25"
"BTN","25-29 years",51.1,"25-30"
"BTN","30-34 years",46.32,"30-35"
"BTN","35-39 years",41.575,"35-40"
"BTN","40-44 years",36.88,"40-45"
"BTN","45-49 years",32.27,"45-50"
"BTN","50-54 years",27.785,"50-55"
"BTN","55-59 years",23.49,"55-60"
"BTN","60-64 years",19.42,"60-65"
"BTN","65-69 years",15.655,"65-70"
"BTN","70-74 years",12.235,"70-75"
"BTN","75-79 years",9.29,"75-80"
"BTN","80+",6.865,"80+"
"BWA","0-4",63.305,"0-5"
"BWA","5-9 years",59.915,"5-10"
"BWA","10-14 years",55.12,"10-15"
"BWA","15-19  years",50.24,"15-20"
"BWA","20-24 years",45.615,"20-25"
"BWA","25-29 years",41.18,"25-30"
"BWA","30-34 years",36.865,"30-35"
"BWA","35-39 years",32.79,"35-40"
"BWA","40-44 years",29,"40-45"
"BWA","45-49 years",25.515,"45-50"
"BWA","50-54 years",22.205,"50-55"
"BWA","55-59 years",19.095,"55-60"
"BWA","60-64 years",16.065,"60-65"
"BWA","65-69 years",13.205,"65-70"
"BWA","70-74 years",10.535,"70-75"
"BWA","75-79 years",8.19,"75-80"
"BWA","80+",6.18,"80+"
"CAF","0-4",57.02,"0-5"
"CAF","5-9 years",54.84,"5-10"
"CAF","10-14 years",50.31,"10-15"
"CAF","15-19  years",45.565,"15-20"
"CAF","20-24 years",41.165,"20-25"
"CAF","25-29 years",36.885,"25-30"
"CAF","30-34 years",32.72,"30-35"
"CAF","35-39 years",28.72,"35-40"
"CAF","40-44 years",24.995,"40-45"
"CAF","45-49 years",21.59,"45-50"
"CAF","50-54 years",18.495,"50-55"
"CAF","55-59 years",15.66,"55-60"
"CAF","60-64 years",13.08,"60-65"
"CAF","65-69 years",10.755,"65-70"
"CAF","70-74 years",8.63,"70-75"
"CAF","75-79 years",6.825,"75-80"
"CAF","80+",5.29,"80+"
"CAN","0-4",82.225,"0-5"
"CAN","5-9 years",77.61,"5-10"
"CAN","10-14 years",72.635,"10-15"
"CAN","15-19  years",67.675,"15-20"
"CAN","20-24 years",62.775,"20-25"
"CAN","25-29 years",57.925,"25-30"
"CAN","30-34 years",53.11,"30-35"
"CAN","35-39 years",48.31,"35-40"
"CAN","40-44 years",43.505,"40-45"
"CAN","45-49 years",38.74,"45-50"
"CAN","50-54 years",34.07,"50-55"
"CAN","55-59 years",29.5,"55-60"
"CAN","60-64 years",25.11,"60-65"
"CAN","65-69 years",20.915,"65-70"
"CAN","70-74 years",16.91,"70-75"
"CAN","75-79 years",13.18,"75-80"
"CAN","80+",9.79,"80+"
"CHE","0-4",83.415,"0-5"
"CHE","5-9 years",78.74,"5-10"
"CHE","10-14 years",73.76,"10-15"
"CHE","15-19  years",68.785,"15-20"
"CHE","20-24 years",63.845,"20-25"
"CHE","25-29 years",58.92,"25-30"
"CHE","30-34 years",54,"30-35"
"CHE","35-39 years",49.085,"35-40"
"CHE","40-44 years",44.195,"40-45"
"CHE","45-49 years",39.345,"45-50"
"CHE","50-54 years",34.565,"50-55"
"CHE","55-59 years",29.895,"55-60"
"CHE","60-64 years",25.37,"60-65"
"CHE","65-69 years",21.03,"65-70"
"CHE","70-74 years",16.88,"70-75"
"CHE","75-79 years",12.97,"75-80"
"CHE","80+",9.305,"80+"
"CHL","0-4",80.67,"0-5"
"CHL","5-9 years",76.255,"5-10"
"CHL","10-14 years",71.3,"10-15"
"CHL","15-19  years",66.355,"15-20"
"CHL","20-24 years",61.48,"20-25"
"CHL","25-29 years",56.65,"25-30"
"CHL","30-34 years",51.835,"30-35"
"CHL","35-39 years",47.025,"35-40"
"CHL","40-44 years",42.245,"40-45"
"CHL","45-49 years",37.54,"45-50"
"CHL","50-54 years",32.92,"50-55"
"CHL","55-59 years",28.445,"55-60"
"CHL","60-64 years",24.145,"60-65"
"CHL","65-69 years",19.965,"65-70"
"CHL","70-74 years",16.035,"70-75"
"CHL","75-79 years",12.605,"75-80"
"CHL","80+",9.47,"80+"
"CHN","0-4",77.61,"0-5"
"CHN","5-9 years",73.22,"5-10"
"CHN","10-14 years",68.285,"10-15"
"CHN","15-19  years",63.35,"15-20"
"CHN","20-24 years",58.455,"20-25"
"CHN","25-29 years",53.605,"25-30"
"CHN","30-34 years",48.75,"30-35"
"CHN","35-39 years",43.945,"35-40"
"CHN","40-44 years",39.19,"40-45"
"CHN","45-49 years",34.525,"45-50"
"CHN","50-54 years",29.91,"50-55"
"CHN","55-59 years",25.435,"55-60"
"CHN","60-64 years",21.135,"60-65"
"CHN","65-69 years",17.06,"65-70"
"CHN","70-74 years",13.26,"70-75"
"CHN","75-79 years",9.935,"75-80"
"CHN","80+",7.01,"80+"
"CIV","0-4",66.06,"0-5"
"CIV","5-9 years",63.505,"5-10"
"CIV","10-14 years",59.39,"10-15"
"CIV","15-19  years",54.995,"15-20"
"CIV","20-24 years",50.35,"20-25"
"CIV","25-29 years",45.785,"25-30"
"CIV","30-34 years",41.265,"30-35"
"CIV","35-39 years",36.835,"35-40"
"CIV","40-44 years",32.54,"40-45"
"CIV","45-49 years",28.435,"45-50"
"CIV","50-54 years",24.5,"50-55"
"CIV","55-59 years",20.79,"55-60"
"CIV","60-64 years",17.265,"60-65"
"CIV","65-69 years",14.08,"65-70"
"CIV","70-74 years",11.175,"70-75"
"CIV","75-79 years",8.725,"75-80"
"CIV","80+",6.635,"80+"
"CMR","0-4",64.71,"0-5"
"CMR","5-9 years",62.395,"5-10"
"CMR","10-14 years",58.26,"10-15"
"CMR","15-19  years",53.72,"15-20"
"CMR","20-24 years",49.09,"20-25"
"CMR","25-29 years",44.555,"25-30"
"CMR","30-34 years",40.125,"30-35"
"CMR","35-39 years",35.84,"35-40"
"CMR","40-44 years",31.74,"40-45"
"CMR","45-49 years",27.835,"45-50"
"CMR","50-54 years",24.075,"50-55"
"CMR","55-59 years",20.495,"55-60"
"CMR","60-64 years",17.06,"60-65"
"CMR","65-69 years",13.93,"65-70"
"CMR","70-74 years",11.07,"70-75"
"CMR","75-79 years",8.655,"75-80"
"CMR","80+",6.575,"80+"
"COD","0-4",65.805,"0-5"
"COD","5-9 years",63.11,"5-10"
"COD","10-14 years",58.875,"10-15"
"COD","15-19  years",54.435,"15-20"
"COD","20-24 years",49.775,"20-25"
"COD","25-29 years",45.22,"25-30"
"COD","30-34 years",40.7,"30-35"
"COD","35-39 years",36.24,"35-40"
"COD","40-44 years",31.9,"40-45"
"COD","45-49 years",27.745,"45-50"
"COD","50-54 years",23.77,"50-55"
"COD","55-59 years",20.055,"55-60"
"COD","60-64 years",16.615,"60-65"
"COD","65-69 years",13.54,"65-70"
"COD","70-74 years",10.755,"70-75"
"COD","75-79 years",8.375,"75-80"
"COD","80+",6.315,"80+"
"COG","0-4",66.085,"0-5"
"COG","5-9 years",62.97,"5-10"
"COG","10-14 years",58.22,"10-15"
"COG","15-19  years",53.43,"15-20"
"COG","20-24 years",48.795,"20-25"
"COG","25-29 years",44.22,"25-30"
"COG","30-34 years",39.73,"30-35"
"COG","35-39 years",35.345,"35-40"
"COG","40-44 years",31.125,"40-45"
"COG","45-49 years",27.12,"45-50"
"COG","50-54 years",23.33,"50-55"
"COG","55-59 years",19.745,"55-60"
"COG","60-64 years",16.39,"60-65"
"COG","65-69 years",13.325,"65-70"
"COG","70-74 years",10.565,"70-75"
"COG","75-79 years",8.165,"75-80"
"COG","80+",6.13,"80+"
"COL","0-4",79.28,"0-5"
"COL","5-9 years",75.33,"5-10"
"COL","10-14 years",70.405,"10-15"
"COL","15-19  years",65.5,"15-20"
"COL","20-24 years",60.77,"20-25"
"COL","25-29 years",56.12,"25-30"
"COL","30-34 years",51.435,"30-35"
"COL","35-39 years",46.755,"35-40"
"COL","40-44 years",42.055,"40-45"
"COL","45-49 years",37.38,"45-50"
"COL","50-54 years",32.75,"50-55"
"COL","55-59 years",28.22,"55-60"
"COL","60-64 years",23.875,"60-65"
"COL","65-69 years",19.72,"65-70"
"COL","70-74 years",15.745,"70-75"
"COL","75-79 years",12.13,"75-80"
"COL","80+",9.085,"80+"
"COM","0-4",69.93,"0-5"
"COM","5-9 years",67.065,"5-10"
"COM","10-14 years",62.44,"10-15"
"COM","15-19  years",57.605,"15-20"
"COM","20-24 years",52.87,"20-25"
"COM","25-29 years",48.22,"25-30"
"COM","30-34 years",43.6,"30-35"
"COM","35-39 years",39.025,"35-40"
"COM","40-44 years",34.51,"40-45"
"COM","45-49 years",30.125,"45-50"
"COM","50-54 years",25.875,"50-55"
"COM","55-59 years",21.865,"55-60"
"COM","60-64 years",18.095,"60-65"
"COM","65-69 years",14.72,"65-70"
"COM","70-74 years",11.655,"70-75"
"COM","75-79 years",9.045,"75-80"
"COM","80+",6.795,"80+"
"CPV","0-4",73.92,"0-5"
"CPV","5-9 years",70.03,"5-10"
"CPV","10-14 years",65.09,"10-15"
"CPV","15-19  years",60.155,"15-20"
"CPV","20-24 years",55.365,"20-25"
"CPV","25-29 years",50.6,"25-30"
"CPV","30-34 years",45.83,"30-35"
"CPV","35-39 years",41.09,"35-40"
"CPV","40-44 years",36.425,"40-45"
"CPV","45-49 years",31.865,"45-50"
"CPV","50-54 years",27.47,"50-55"
"CPV","55-59 years",23.27,"55-60"
"CPV","60-64 years",19.295,"60-65"
"CPV","65-69 years",15.585,"65-70"
"CPV","70-74 years",12.2,"70-75"
"CPV","75-79 years",9.23,"75-80"
"CPV","80+",6.74,"80+"
"CRI","0-4",80.875,"0-5"
"CRI","5-9 years",76.575,"5-10"
"CRI","10-14 years",71.63,"10-15"
"CRI","15-19  years",66.7,"15-20"
"CRI","20-24 years",61.875,"20-25"
"CRI","25-29 years",57.185,"25-30"
"CRI","30-34 years",52.485,"30-35"
"CRI","35-39 years",47.76,"35-40"
"CRI","40-44 years",43.07,"40-45"
"CRI","45-49 years",38.435,"45-50"
"CRI","50-54 years",33.86,"50-55"
"CRI","55-59 years",29.355,"55-60"
"CRI","60-64 years",24.99,"60-65"
"CRI","65-69 years",20.955,"65-70"
"CRI","70-74 years",16.935,"70-75"
