"iso3c","Dim2","lg","age_group"
"AFG","0-4",65.265,"0-5"
"AFG","5-9 years",62.19,"5-10"
"AFG","10-14 years",57.33,"10-15"
"AFG","15-19  years",52.43,"15-20"
"AFG","20-24 years",47.76,"20-25"
"AFG","25-29 years",43.22,"25-30"
"AFG","30-34 years",38.73,"30-35"
"AFG","35-39 years",34.295,"35-40"
"AFG","40-44 years",30,"40-45"
"AFG","45-49 years",25.905,"45-50"
"AFG","50-54 years",22.04,"50-55"
"AFG","55-59 years",18.47,"55-60"
"AFG","60-64 years",15.225,"60-65"
"AFG","65-69 years",12.34,"65-70"
"AFG","70-74 years",9.765,"70-75"
"AFG","75-79 years",7.56,"75-80"
"AFG","80+",5.695,"80+"
"AGO","0-4",65.485,"0-5"
"AGO","5-9 years",63.155,"5-10"
"AGO","10-14 years",58.785,"10-15"
"AGO","15-19  years",54.135,"15-20"
"AGO","20-24 years",49.47,"20-25"
"AGO","25-29 years",44.925,"25-30"
"AGO","30-34 years",40.475,"30-35"
"AGO","35-39 years",36.17,"35-40"
"AGO","40-44 years",31.995,"40-45"
"AGO","45-49 years",27.985,"45-50"
"AGO","50-54 years",24.105,"50-55"
"AGO","55-59 years",20.435,"55-60"
"AGO","60-64 years",16.965,"60-65"
"AGO","65-69 years",13.83,"65-70"
"AGO","70-74 years",10.97,"70-75"
"AGO","75-79 years",8.54,"75-80"
"AGO","80+",6.43,"80+"
"ALB","0-4",78.08,"0-5"
"ALB","5-9 years",73.855,"5-10"
"ALB","10-14 years",68.925,"10-15"
"ALB","15-19  years",63.99,"15-20"
"ALB","20-24 years",59.14,"20-25"
"ALB","25-29 years",54.255,"25-30"
"ALB","30-34 years",49.365,"30-35"
"ALB","35-39 years",44.435,"35-40"
"ALB","40-44 years",39.56,"40-45"
"ALB","45-49 years",34.81,"45-50"
"ALB","50-54 years",30.11,"50-55"
"ALB","55-59 years",25.565,"55-60"
"ALB","60-64 years",21.08,"60-65"
"ALB","65-69 years",16.805,"65-70"
"ALB","70-74 years",12.52,"70-75"
"ALB","75-79 years",8.63,"75-80"
"ALB","80+",5.19,"80+"
"ARE","0-4",76.76,"0-5"
"ARE","5-9 years",72.36,"5-10"
"ARE","10-14 years",67.425,"10-15"
"ARE","15-19  years",62.49,"15-20"
"ARE","20-24 years",57.625,"20-25"
"ARE","25-29 years",52.795,"25-30"
"ARE","30-34 years",47.955,"30-35"
"ARE","35-39 years",43.135,"35-40"
"ARE","40-44 years",38.345,"40-45"
"ARE","45-49 years",33.64,"45-50"
"ARE","50-54 years",29.045,"50-55"
"ARE","55-59 years",24.625,"55-60"
"ARE","60-64 years",20.435,"60-65"
"ARE","65-69 years",16.565,"65-70"
"ARE","70-74 years",13.055,"70-75"
"ARE","75-79 years",9.955,"75-80"
"ARE","80+",7.275,"80+"
"ARG","0-4",76.505,"0-5"
"ARG","5-9 years",72.215,"5-10"
"ARG","10-14 years",67.27,"10-15"
"ARG","15-19  years",62.335,"15-20"
"ARG","20-24 years",57.53,"20-25"
"ARG","25-29 years",52.79,"25-30"
"ARG","30-34 years",48.03,"30-35"
"ARG","35-39 years",43.275,"35-40"
"ARG","40-44 years",38.575,"40-45"
"ARG","45-49 years",33.935,"45-50"
"ARG","50-54 years",29.42,"50-55"
"ARG","55-59 years",25.07,"55-60"
"ARG","60-64 years",20.96,"60-65"
"ARG","65-69 years",17.155,"65-70"
"ARG","70-74 years",13.65,"70-75"
"ARG","75-79 years",10.505,"75-80"
"ARG","80+",7.615,"80+"
"ARM","0-4",75.825,"0-5"
"ARM","5-9 years",71.74,"5-10"
"ARM","10-14 years",66.815,"10-15"
"ARM","15-19  years",61.87,"15-20"
"ARM","20-24 years",56.975,"20-25"
"ARM","25-29 years",52.105,"25-30"
"ARM","30-34 years",47.24,"30-35"
"ARM","35-39 years",42.4,"35-40"
"ARM","40-44 years",37.62,"40-45"
"ARM","45-49 years",33.01,"45-50"
"ARM","50-54 years",28.5,"50-55"
"ARM","55-59 years",24.235,"55-60"
"ARM","60-64 years",20.195,"60-65"
"ARM","65-69 years",16.34,"65-70"
"ARM","70-74 years",13.07,"70-75"
"ARM","75-79 years",9.875,"75-80"
"ARM","80+",7.975,"80+"
"ATG","0-4",76.42,"0-5"
"ATG","5-9 years",71.93,"5-10"
"ATG","10-14 years",66.975,"10-15"
"ATG","15-19  years",62.04,"15-20"
"ATG","20-24 years",57.175,"20-25"
"ATG","25-29 years",52.405,"25-30"
"ATG","30-34 years",47.66,"30-35"
"ATG","35-39 years",42.89,"35-40"
"ATG","40-44 years",38.185,"40-45"
"ATG","45-49 years",33.515,"45-50"
"ATG","50-54 years",28.97,"50-55"
"ATG","55-59 years",24.625,"55-60"
"ATG","60-64 years",20.56,"60-65"
"ATG","65-69 years",16.83,"65-70"
"ATG","70-74 years",13.26,"70-75"
"ATG","75-79 years",10.055,"75-80"
"ATG","80+",7.235,"80+"
"AUS","0-4",83.045,"0-5"
"AUS","5-9 years",78.325,"5-10"
"AUS","10-14 years",73.355,"10-15"
"AUS","15-19  years",68.385,"15-20"
"AUS","20-24 years",63.48,"20-25"
