Country Name,Country Code,CHOICE
Aruba,ABW,
Africa Eastern and Southern,AFE,#DIV/0!
Afghanistan,AFG,7.07544018589222
Africa Western and Central,AFW,#DIV/0!
Angola,AGO,105.525031761834
Albania,ALB,169.160977659933
Andorra,AND,#DIV/0!
Arab World,ARB,#DIV/0!
United Arab Emirates,ARE,837.28280990958
Argentina,ARG,409.565196842573
Armenia,ARM,113.498788443681
American Samoa,ASM,#DIV/0!
Antigua and Barbuda,ATG,355.131703798931
Australia,AUS,1157.86451417727
Austria,AUT,1186.6773817923
Azerbaijan,AZE,169.780618964971
Burundi,BDI,6.91106335185006
Belgium,BEL,1103.04847510914
Benin,BEN,21.3392049437874
Burkina Faso,BFA,17.6098490077725
Bangladesh,BGD,28.9378179879391
Bulgaria,BGR,339.612639684523
Bahrain,BHR,399.643876681741
Bahamas,BHS,796.91653843172
Bosnia and Herzegovina,BIH,176.770592303269
Belarus,BLR,299.959528990645
Belize,BLZ,117.838168226753
Bermuda,BMU,0
Bolivia,BOL,94.1051952216663
Brazil,BRA,41.6228029065256
Barbados,BRB,450.936520454265
Brunei Darussalam,BRN,1042.79909419587
Bhutan,BTN,110.113385863615
Botswana,BWA,285.162589155098
Central African Republic,CAF,11.0370206621125
Canada,CAN,1028.5422352751
Central Europe and the Baltics,CEB,#DIV/0!
Switzerland,CHE,1415.13684755362
Channel Islands,CHI,#DIV/0!
Chile,CHL,448.131006517225
China,CHN,120.472802614462
Cote d'Ivoire,CIV,26.4495363815901
Cameroon,CMR,33.2498050755439
Democratic Republic of the Congo,COD,4.87531902158241
Congo,COG,61.2309797447338
Colombia,COL,192.530329764828
Comoros,COM,17.9261520713254
Cabo Verde,CPV,64.5850298271683
Costa Rica,CRI,272.989511294733
Caribbean small states,CSS,#DIV/0!
Cuba,CUB,#DIV/0!
Curacao,CUW,0
Cayman Islands,CYM,0
Cyprus,CYP,746.839388749766
Czech Republic,CZE,669.644843133275
Germany,DEU,1061.97087789686
Djibouti,DJI,0
Dominica,DMA,273.818593797967
Denmark,DNK,1155.41892437466
Dominican Republic,DOM,183.391400514899
Algeria,DZA,116.226994450916
East Asia & Pacific (excluding high income),EAP,#DIV/0!
Early-demographic dividend,EAR,#DIV/0!
East Asia & Pacific,EAS,#DIV/0!
Europe & Central Asia (excluding high income),ECA,#DIV/0!
Europe & Central Asia,ECS,#DIV/0!
