"","country","gni","iso3c","vsl","income"
"1","Singapore",102450,"SGP",17879327.4687855,"HIC"
"2","Qatar",100450,"QAT",17530292.2814983,"HIC"
"3","Bermuda",91950,"BMU",16046892.7355278,"HIC"
"4","Luxembourg",83230,"LUX",14525099.3189557,"HIC"
"5","Norway",82840,"NOR",14457037.4574347,"HIC"
"6","Ireland",79370,"IRL",13851461.4074915,"HIC"
"7","Switzerland",75810,"CHE",13230178.7741203,"HIC"
"8","Macao SAR, China",72940,"MAC",12729313.2803632,"HIC"
"9","United Arab Emirates",71280,"ARE",12439614.0749149,"HIC"
"10","Hong Kong SAR, China",70600,"HKG",12320942.1112372,"HIC"
"11","United States",70480,"USA",12300000,"HIC"
"12","Denmark",66720,"DNK",11643813.8479001,"HIC"
"13","Brunei Darussalam",66480,"BRN",11601929.6254257,"HIC"
"14","Netherlands",63370,"NLD",11059179.9091941,"HIC"
"15","Sweden",61090,"SWE",10661279.7956867,"HIC"
"16","Germany",59630,"DEU",10406484.1089671,"HIC"
"17","Belgium",59430,"BEL",10371580.5902384,"HIC"
"18","Austria",58370,"AUT",10186591.9409762,"HIC"
"19","Finland",55940,"FIN",9762514.18842225,"HIC"
"20","Kuwait",55930,"KWT",9760769.01248581,"HIC"
"21","Iceland",55890,"ISL",9753788.30874007,"HIC"
"22","Australia",55660,"AUS",9713649.26220204,"HIC"
"23","San Marino",53680,"SMR",9368104.42678774,"HIC"
"24","Cayman Islands",52500,"CYM",9162173.66628831,"HIC"
"25","Canada",51690,"CAN",9020814.415437,"HIC"
"26","France",51660,"FRA",9015578.8876277,"HIC"
"27","United Kingdom",49420,"GBR",8624659.47786606,"HIC"
"28","Korea, Rep.",47770,"KOR",8336705.44835414,"HIC"
"29","Bahrain",46900,"BHR",8184875.14188422,"HIC"
"30","Italy",46450,"ITA",8106342.22474461,"HIC"
"31","Saudi Arabia",46130,"SAU",8050496.59477866,"HIC"
"32","New Zealand",45440,"NZL",7930079.45516459,"HIC"
"33","Malta",45370,"MLT",7917863.22360954,"HIC"
"34","Japan",44570,"JPN",7778249.14869466,"HIC"
"35","Israel",44060,"ISR",7689245.17593644,"HIC"
