"scenario","income","Rt","Vaccine","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
1,"LIC","History Based","100-Day Mission",208054969,269364756,59031908,152213096,205204953,47741608,184297287,241533056,54132776,229487934,289083431,64123234,278577430,339377159,70010931
2,"LIC","Target Based","100-Day Mission",291483304,269364756,-21140605,228683969,205204953,-40337218,260689762,241533056,-26522854,309847121,289083431,-14940454,364773047,339377159,-1555103
3,"LIC","Economic Based","100-Day Mission",238193630,269364756,30136957,181262523,205204953,12849873,206905696,241533056,23915052,258076990,289083431,36776383,313580749,339377159,48540925
4,"LIC","History Based","100-Day Mission & Manufacturing",141171445,269364756,124124351,90762924,205204953,97153068,119794315,241533056,112793683,166132417,289083431,133790292,218142373,339377159,146689084
5,"LIC","Target Based","100-Day Mission & Manufacturing",251653430,269364756,15671743,199523133,205204953,-3957444,230200470,241533056,6754170,273666068,289083431,24077867,319113785,339377159,36354159
6,"LIC","Economic Based","100-Day Mission & Manufacturing",224116108,269364756,42726698,171165547,205204953,19496552,203972843,241533056,36463642,246117430,289083431,51249441,295627059,339377159,61066755
7,"LIC","History Based","100-Day Mission & Infrastructure",118999539,269364756,145990150,72691523,205204953,116541077,99626806,241533056,137639282,140941048,289083431,158202091,193311634,339377159,173881459
8,"LIC","Target Based","100-Day Mission & Infrastructure",220234785,269364756,46325153,174619941,205204953,21731699,199181673,241533056,38405292,238229120,289083431,56117362,284293166,339377159,68543958
9,"LIC","Economic Based","100-Day Mission & Infrastructure",179241432,269364756,86238517,131881661,205204953,66909711,160379381,241533056,81909374,199344057,289083431,95306328,251653232,339377159,109129848
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",60112346,269364756,203003038,24969968,205204953,163416375,47750359,241533056,189783511,81648979,289083431,216455983,130312330,339377159,239488200
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",162118348,269364756,102605775,112715648,205204953,76876553,142333446,241533056,94740133,186689414,289083431,109435370,248163285,339377159,127634295
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",127310600,269364756,134374174,79538242,205204953,100190169,104338773,241533056,124198983,153555064,289083431,144142191,222861376,339377159,173685840
1,"LMIC","History Based","100-Day Mission",805051614,2048067514,994051039,509522250,1250502352,675472142,691567680,1744986992,859412870,1529192083,2454333483,1139486800,1839398975,2811816439,1479618326
2,"LMIC","Target Based","100-Day Mission",1770251375,2048067514,256085280,963644557,1250502352,-78951979,1450189233,1744986992,174422913,2174160921,2454333483,312903112,2815702759,2811816439,388171159
3,"LMIC","Economic Based","100-Day Mission",1287906444,2048067514,711674471,688406494,1250502352,478501950,968817080,1744986992,603897116,1757222381,2454333483,784940561,2109890134,2811816439,978968730
4,"LMIC","History Based","100-Day Mission & Manufacturing",508031617,2048067514,1325054536,331946960,1250502352,829305003,422760093,1744986992,1127108135,926724811,2454333483,1555460055,1668942292,2811816439,1824244808
5,"LMIC","Target Based","100-Day Mission & Manufacturing",1267504474,2048067514,596539112,744979996,1250502352,-61114924,1025050932,1744986992,386907295,1983143297,2454333483,745593291,2693946378,2811816439,897952929
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",928525938,2048067514,913393857,619898519,1250502352,587012522,756508138,1744986992,781401540,1610327871,2454333483,1060126362,1907111102,2811816439,1249635812
7,"LMIC","History Based","100-Day Mission & Infrastructure",598378366,2048067514,1261034611,385471976,1250502352,791253406,501052430,1744986992,1090797903,836443989,2454333483,1464002901,1783792599,2811816439,1837623577
8,"LMIC","Target Based","100-Day Mission & Infrastructure",1278659429,2048067514,575271818,758826381,1250502352,256842567,1024930298,1744986992,466693343,1920318199,2454333483,723646831,2466772630,2811816439,909791410
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",948476512,2048067514,852353312,610561959,1250502352,558039085,801643657,1744986992,754808407,1622098679,2454333483,1027710532,1997233172,2811816439,1296411886
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",385184811,2048067514,1465828474,244364134,1250502352,959696666,314482554,1744986992,1269362707,477204258,2454333483,1699985236,1505582185,2811816439,2206276709
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",979380587,2048067514,860571058,553780598,1250502352,429494014,744672787,1744986992,724188019,1733891082,2454333483,1028196781,2202088967,2811816439,1242388740
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",643019684,2048067514,1139369538,407550424,1250502352,766367093,530571588,1744986992,1003311073,1454518623,2454333483,1280189865,1747412831,2811816439,1565675116
