"scenario","income","Rt","Vaccine","extra_full_school_weeks_total","extra_partial_school_weeks_total","extra_full_school_weeks_med","extra_partial_school_weeks_med","extra_full_school_weeks_025","extra_partial_school_weeks_025","extra_full_school_weeks_25","extra_partial_school_weeks_25","extra_full_school_weeks_75","extra_partial_school_weeks_75","extra_full_school_weeks_975","extra_partial_school_weeks_975"
1,"HIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0
1,"UMIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0
1,"LMIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0
1,"LIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0
2,"HIC","Target Based","100-Day Mission",106,401,0,6,0,0,0,0,2,12,15.8,26.5
2,"UMIC","Target Based","100-Day Mission",188,647,2.5,13,0,0,0,5,6.75,23,17.875,31.85
2,"LMIC","Target Based","100-Day Mission",197,345,0,2,0,0,0,0,6,13.75,20.825,29.75
2,"LIC","Target Based","100-Day Mission",56,55,0,0,0,0,0,0,1,2,18.8,15.5
3,"HIC","Economic Based","100-Day Mission",354,987,6,17,0,0,0,6,10,26,31,50.7
3,"UMIC","Economic Based","100-Day Mission",547,1129,8,21,0,0,3.25,13,19.75,39,32.5,51.4
3,"LMIC","Economic Based","100-Day Mission",427,748,2.5,13,0,0,0,3.25,13,23,41.825,54.875
3,"LIC","Economic Based","100-Day Mission",111,220,3,5,0,0,0,2,6,18,22.625,32.5
4,"HIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0
4,"UMIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0
4,"LMIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0
4,"LIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0
5,"HIC","Target Based","100-Day Mission & Manufacturing",372,1071,6,18,0,0,0,6,12,28,34.2,57.1
5,"UMIC","Target Based","100-Day Mission & Manufacturing",681,1216,12.5,22,0,3.15,6,13.5,22.5,40.5,39.75,53.95
5,"LMIC","Target Based","100-Day Mission & Manufacturing",595,856,6.5,15,0,0,2,6,19.25,25.75,51.125,56.75
5,"LIC","Target Based","100-Day Mission & Manufacturing",198,269,5.5,9,0,0,1,5,10,21,31.75,32.5
6,"HIC","Economic Based","100-Day Mission & Manufacturing",407,1115,6,18,0,0,1,8,12,28,36.6,59.5
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",786,1250,15.5,23,0.375,3.15,8,14,25.25,40.5,43.875,54.4
