"scenario","Rt","Vaccine","date","deaths_med","deaths_baseline_med","deaths_averted_med","deaths_025","deaths_baseline_025","deaths_averted_025","deaths_25","deaths_baseline_25","deaths_averted_25","deaths_75","deaths_baseline_75","deaths_averted_75","deaths_975","deaths_baseline_975","deaths_averted_975"
1,"History Based","100-Day Mission","2019-11-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission","2019-12-06",1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
1,"History Based","100-Day Mission","2019-12-07",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
1,"History Based","100-Day Mission","2019-12-08",1,1,0,1,1,0,1,1,0,1,1,0,2,2,0
1,"History Based","100-Day Mission","2019-12-09",2,2,0,1,1,0,2,2,0,2,2,0,2,2,0
1,"History Based","100-Day Mission","2019-12-10",2,2,0,2,2,0,2,2,0,2,2,0,3,3,0
1,"History Based","100-Day Mission","2019-12-11",3,3,0,2,2,0,3,3,0,3,3,0,4,4,0
1,"History Based","100-Day Mission","2019-12-12",4,4,0,3,3,0,3,3,0,4,4,0,5,5,0
1,"History Based","100-Day Mission","2019-12-13",5,5,0,4,4,0,4,4,0,5,5,0,6,6,0
1,"History Based","100-Day Mission","2019-12-14",6,6,0,4,4,0,5,5,0,6,6,0,7,7,0
1,"History Based","100-Day Mission","2019-12-15",7,7,0,5,5,0,6,6,0,8,8,0,9,9,0
1,"History Based","100-Day Mission","2019-12-16",9,9,0,7,7,0,8,8,0,9,9,0,11,11,0
1,"History Based","100-Day Mission","2019-12-17",11,11,0,8,8,0,10,10,0,11,11,0,13,13,0
1,"History Based","100-Day Mission","2019-12-18",13,13,0,10,10,0,12,12,0,14,14,0,15,15,0
1,"History Based","100-Day Mission","2019-12-19",16,16,0,12,12,0,14,14,0,17,17,0,19,19,0
1,"History Based","100-Day Mission","2019-12-20",19,19,0,15,15,0,18,18,0,20,20,0,22,22,0
1,"History Based","100-Day Mission","2019-12-21",23,23,0,19,19,0,22,22,0,25,25,0,27,27,0
1,"History Based","100-Day Mission","2019-12-22",29,29,0,23,23,0,27,27,0,31,31,0,33,33,0
1,"History Based","100-Day Mission","2019-12-23",35,35,0,29,29,0,33,33,0,38,38,0,41,41,0
1,"History Based","100-Day Mission","2019-12-24",43,43,0,35,35,0,41,41,0,46,46,0,50,50,0
