"scenario","Rt","Vaccine","date","deaths_med","deaths_baseline_med","deaths_averted_med","deaths_025","deaths_baseline_025","deaths_averted_025","deaths_25","deaths_baseline_25","deaths_averted_25","deaths_75","deaths_baseline_75","deaths_averted_75","deaths_975","deaths_baseline_975","deaths_averted_975"
1,"History Based","100-Day Mission","2019-12-25",53,53,0,43,43,0,50,50,0,56,56,0,60,60,0
1,"History Based","100-Day Mission","2019-12-26",63,63,0,52,52,0,60,60,0,67,67,0,72,72,0
1,"History Based","100-Day Mission","2019-12-27",75,75,0,62,62,0,71,71,0,79,79,0,85,85,0
1,"History Based","100-Day Mission","2019-12-28",88,88,0,73,73,0,84,84,0,93,93,0,99,99,0
1,"History Based","100-Day Mission","2019-12-29",103,103,0,85,85,0,98,98,0,108,108,0,114,114,0
1,"History Based","100-Day Mission","2019-12-30",119,119,0,99,99,0,114,114,0,124,124,0,131,131,0
1,"History Based","100-Day Mission","2019-12-31",137,137,0,115,115,0,130,130,0,142,142,0,150,150,0
1,"History Based","100-Day Mission","2020-01-01",156,156,0,133,133,0,149,149,0,162,162,0,171,171,0
1,"History Based","100-Day Mission","2020-01-02",178,178,0,154,154,0,170,170,0,183,183,0,193,193,0
1,"History Based","100-Day Mission","2020-01-03",201,201,0,178,178,0,194,194,0,208,208,0,218,218,0
1,"History Based","100-Day Mission","2020-01-04",228,228,0,205,205,0,220,220,0,235,235,0,245,245,0
1,"History Based","100-Day Mission","2020-01-05",257,257,0,236,236,0,249,249,0,264,264,0,274,274,0
1,"History Based","100-Day Mission","2020-01-06",290,290,0,269,269,0,281,281,0,297,297,0,306,306,0
1,"History Based","100-Day Mission","2020-01-07",325,325,0,306,306,0,318,318,0,332,332,0,341,341,0
1,"History Based","100-Day Mission","2020-01-08",363,363,0,343,343,0,356,356,0,370,370,0,381,381,0
1,"History Based","100-Day Mission","2020-01-09",402,402,0,379,379,0,396,396,0,408,408,0,420,420,0
1,"History Based","100-Day Mission","2020-01-10",441,441,0,417,417,0,435,435,0,448,448,0,462,462,0
1,"History Based","100-Day Mission","2020-01-11",481,481,0,454,454,0,473,473,0,490,490,0,506,506,0
1,"History Based","100-Day Mission","2020-01-12",520,520,0,490,490,0,510,510,0,530,530,0,550,550,0
1,"History Based","100-Day Mission","2020-01-13",556,556,0,527,527,0,546,546,0,568,568,0,592,592,0
1,"History Based","100-Day Mission","2020-01-14",593,593,0,561,561,0,580,580,0,605,605,0,634,634,0
1,"History Based","100-Day Mission","2020-01-15",629,629,0,595,595,0,616,616,0,641,641,0,673,673,0
1,"History Based","100-Day Mission","2020-01-16",663,663,0,629,629,0,652,652,0,675,675,0,710,710,0
1,"History Based","100-Day Mission","2020-01-17",696,696,0,665,665,0,685,685,0,708,708,0,752,752,0
1,"History Based","100-Day Mission","2020-01-18",730,730,0,697,697,0,718,718,0,741,741,0,787,787,0
1,"History Based","100-Day Mission","2020-01-19",762,762,0,726,726,0,750,750,0,773,773,0,819,819,0
1,"History Based","100-Day Mission","2020-01-20",792,792,0,754,754,0,779,779,0,804,804,0,849,849,0
1,"History Based","100-Day Mission","2020-01-21",820,820,0,782,782,0,810,810,0,832,832,0,876,876,0
1,"History Based","100-Day Mission","2020-01-22",850,850,0,811,811,0,840,840,0,861,861,0,904,904,0
1,"History Based","100-Day Mission","2020-01-23",877,877,0,840,840,0,868,868,0,889,889,0,927,927,0
1,"History Based","100-Day Mission","2020-01-24",903,903,0,866,866,0,895,895,0,916,916,0,949,949,0
1,"History Based","100-Day Mission","2020-01-25",929,929,0,891,891,0,921,921,0,942,942,0,969,969,0
1,"History Based","100-Day Mission","2020-01-26",953,953,0,916,916,0,946,946,0,966,966,0,989,989,0
1,"History Based","100-Day Mission","2020-01-27",978,978,0,943,943,0,970,970,0,988,988,0,1007,1007,0
1,"History Based","100-Day Mission","2020-01-28",1001,1001,0,969,969,0,993,993,0,1009,1009,0,1028,1028,0
1,"History Based","100-Day Mission","2020-01-29",1024,1024,0,991,991,0,1015,1015,0,1031,1031,0,1049,1049,0
1,"History Based","100-Day Mission","2020-01-30",1044,1044,0,1012,1012,0,1035,1035,0,1052,1052,0,1069,1069,0
1,"History Based","100-Day Mission","2020-01-31",1064,1064,0,1028,1028,0,1056,1056,0,1072,1072,0,1088,1088,0
1,"History Based","100-Day Mission","2020-02-01",1083,1083,0,1047,1047,0,1074,1074,0,1091,1091,0,1107,1107,0
1,"History Based","100-Day Mission","2020-02-02",1102,1102,0,1065,1065,0,1091,1091,0,1108,1108,0,1124,1124,0
1,"History Based","100-Day Mission","2020-02-03",1119,1119,0,1083,1083,0,1109,1109,0,1127,1127,0,1142,1142,0
1,"History Based","100-Day Mission","2020-02-04",1135,1135,0,1100,1100,0,1126,1126,0,1144,1144,0,1159,1159,0
1,"History Based","100-Day Mission","2020-02-05",1152,1152,0,1116,1116,0,1141,1141,0,1161,1161,0,1178,1178,0
1,"History Based","100-Day Mission","2020-02-06",1169,1169,0,1131,1131,0,1156,1156,0,1178,1178,0,1195,1195,0
1,"History Based","100-Day Mission","2020-02-07",1184,1184,0,1145,1145,0,1170,1170,0,1194,1194,0,1211,1211,0
1,"History Based","100-Day Mission","2020-02-08",1198,1198,0,1159,1159,0,1184,1184,0,1208,1208,0,1226,1226,0
1,"History Based","100-Day Mission","2020-02-09",1211,1211,0,1171,1171,0,1196,1196,0,1222,1222,0,1240,1240,0
1,"History Based","100-Day Mission","2020-02-10",1223,1223,0,1183,1183,0,1207,1207,0,1234,1234,0,1254,1254,0
1,"History Based","100-Day Mission","2020-02-11",1233,1233,0,1194,1194,0,1216,1216,0,1245,1245,0,1266,1266,0
1,"History Based","100-Day Mission","2020-02-12",1244,1244,0,1203,1203,0,1226,1226,0,1257,1257,0,1276,1276,0
1,"History Based","100-Day Mission","2020-02-13",1253,1253,0,1212,1212,0,1236,1236,0,1268,1268,0,1287,1287,0
1,"History Based","100-Day Mission","2020-02-14",1261,1261,0,1222,1222,0,1246,1246,0,1277,1277,0,1298,1298,0
1,"History Based","100-Day Mission","2020-02-15",1269,1269,0,1230,1230,0,1254,1254,0,1286,1286,0,1308,1308,0
1,"History Based","100-Day Mission","2020-02-16",1276,1276,0,1238,1238,0,1261,1261,0,1294,1294,0,1317,1317,0
1,"History Based","100-Day Mission","2020-02-17",1284,1284,0,1245,1245,0,1268,1268,0,1301,1301,0,1326,1326,0
1,"History Based","100-Day Mission","2020-02-18",1291,1291,0,1251,1251,0,1275,1275,0,1308,1308,0,1334,1334,0
1,"History Based","100-Day Mission","2020-02-19",1299,1299,0,1258,1258,0,1282,1282,0,1315,1315,0,1342,1342,0
1,"History Based","100-Day Mission","2020-02-20",1306,1306,0,1265,1265,0,1289,1289,0,1322,1322,0,1351,1351,0
1,"History Based","100-Day Mission","2020-02-21",1314,1314,0,1273,1273,0,1297,1297,0,1330,1330,0,1360,1360,0
1,"History Based","100-Day Mission","2020-02-22",1324,1324,0,1281,1281,0,1307,1307,0,1339,1339,0,1369,1369,0
1,"History Based","100-Day Mission","2020-02-23",1334,1334,0,1290,1290,0,1317,1317,0,1349,1349,0,1379,1379,0
1,"History Based","100-Day Mission","2020-02-24",1346,1346,0,1300,1300,0,1328,1328,0,1362,1362,0,1390,1390,0
1,"History Based","100-Day Mission","2020-02-25",1359,1359,0,1312,1312,0,1342,1342,0,1376,1376,0,1403,1403,0
1,"History Based","100-Day Mission","2020-02-26",1373,1373,0,1326,1326,0,1357,1357,0,1391,1391,0,1419,1419,0
1,"History Based","100-Day Mission","2020-02-27",1391,1391,0,1342,1342,0,1374,1374,0,1409,1409,0,1437,1437,0
1,"History Based","100-Day Mission","2020-02-28",1412,1412,0,1362,1362,0,1395,1395,0,1430,1430,0,1459,1459,0
1,"History Based","100-Day Mission","2020-02-29",1437,1437,0,1385,1385,0,1421,1421,0,1455,1455,0,1485,1485,0
1,"History Based","100-Day Mission","2020-03-01",1466,1466,0,1414,1414,0,1450,1450,0,1484,1484,0,1515,1515,0
1,"History Based","100-Day Mission","2020-03-02",1500,1500,0,1448,1448,0,1483,1483,0,1519,1519,0,1551,1551,0
1,"History Based","100-Day Mission","2020-03-03",1540,1540,0,1488,1488,0,1522,1522,0,1559,1559,0,1592,1592,0
1,"History Based","100-Day Mission","2020-03-04",1586,1586,0,1531,1531,0,1567,1567,0,1605,1605,0,1639,1639,0
1,"History Based","100-Day Mission","2020-03-05",1642,1642,0,1579,1579,0,1618,1618,0,1659,1659,0,1694,1694,0
1,"History Based","100-Day Mission","2020-03-06",1705,1705,0,1634,1634,0,1675,1675,0,1722,1722,0,1758,1758,0
1,"History Based","100-Day Mission","2020-03-07",1779,1779,0,1702,1702,0,1744,1744,0,1797,1797,0,1833,1833,0
1,"History Based","100-Day Mission","2020-03-08",1865,1865,0,1777,1777,0,1826,1826,0,1883,1883,0,1938,1938,0
1,"History Based","100-Day Mission","2020-03-09",1965,1965,0,1862,1862,0,1917,1917,0,1985,1985,0,2067,2067,0
1,"History Based","100-Day Mission","2020-03-10",2071,2071,0,1959,1959,0,2019,2019,0,2096,2096,0,2200,2200,0
1,"History Based","100-Day Mission","2020-03-11",2198,2198,0,2067,2067,0,2150,2150,0,2231,2231,0,2328,2328,0
1,"History Based","100-Day Mission","2020-03-12",2338,2338,0,2188,2188,0,2285,2285,0,2367,2367,0,2466,2466,0
1,"History Based","100-Day Mission","2020-03-13",2481,2481,0,2328,2328,0,2425,2425,0,2523,2523,0,2626,2626,0
1,"History Based","100-Day Mission","2020-03-14",2640,2640,0,2468,2468,0,2587,2587,0,2688,2688,0,2785,2785,0
1,"History Based","100-Day Mission","2020-03-15",2811,2811,0,2625,2625,0,2740,2740,0,2854,2854,0,2957,2957,0
1,"History Based","100-Day Mission","2020-03-16",2990,2990,0,2831,2831,0,2924,2924,0,3044,3044,0,3127,3127,0
1,"History Based","100-Day Mission","2020-03-17",3196,3196,0,3049,3049,0,3148,3148,0,3248,3248,0,3329,3329,0
1,"History Based","100-Day Mission","2020-03-18",3439,3439,0,3277,3277,0,3373,3373,0,3492,3492,0,3692,3692,0
1,"History Based","100-Day Mission","2020-03-19",3663,3663,0,3520,3520,0,3573,3573,0,3866,3866,0,3991,3991,0
1,"History Based","100-Day Mission","2020-03-20",3964,3964,0,3735,3735,0,3808,3808,0,4109,4109,0,4236,4236,0
1,"History Based","100-Day Mission","2020-03-21",4283,4283,0,3963,3963,0,4119,4119,0,4381,4381,0,4527,4527,0
1,"History Based","100-Day Mission","2020-03-22",4650,4650,0,4259,4259,0,4541,4541,0,4726,4726,0,4957,4957,0
1,"History Based","100-Day Mission","2020-03-23",5064,5064,0,4701,4701,0,4944,4944,0,5137,5137,0,5310,5310,0
1,"History Based","100-Day Mission","2020-03-24",5428,5428,0,5121,5121,0,5324,5324,0,5498,5498,0,5610,5610,0
1,"History Based","100-Day Mission","2020-03-25",5742,5742,0,5514,5514,0,5663,5663,0,5810,5810,0,5914,5914,0
1,"History Based","100-Day Mission","2020-03-26",6050,6050,0,5875,5875,0,5988,5988,0,6113,6113,0,6217,6217,0
1,"History Based","100-Day Mission","2020-03-27",6374,6374,0,6208,6208,0,6309,6309,0,6428,6428,0,6517,6517,0
1,"History Based","100-Day Mission","2020-03-28",6669,6669,0,6507,6507,0,6612,6612,0,6738,6738,0,6838,6838,0
1,"History Based","100-Day Mission","2020-03-29",6995,6995,0,6817,6817,0,6933,6933,0,7056,7056,0,7182,7182,0
1,"History Based","100-Day Mission","2020-03-30",7315,7315,0,7106,7106,0,7256,7256,0,7390,7390,0,7528,7528,0
1,"History Based","100-Day Mission","2020-03-31",7644,7644,0,7425,7425,0,7578,7578,0,7734,7734,0,7874,7874,0
1,"History Based","100-Day Mission","2020-04-01",7975,7975,0,7725,7725,0,7905,7905,0,8063,8063,0,8228,8228,0
1,"History Based","100-Day Mission","2020-04-02",8296,8296,0,8007,8007,0,8221,8221,0,8393,8393,0,8564,8564,0
1,"History Based","100-Day Mission","2020-04-03",8736,8736,0,8393,8393,0,8650,8650,0,8858,8858,0,9025,9025,0
1,"History Based","100-Day Mission","2020-04-04",9245,9245,0,8837,8837,0,9138,9138,0,9388,9388,0,9623,9623,0
1,"History Based","100-Day Mission","2020-04-05",9597,9597,0,9136,9136,0,9492,9492,0,9758,9758,0,10324,10324,0
1,"History Based","100-Day Mission","2020-04-06",9833,9833,0,9318,9318,0,9729,9729,0,10027,10027,0,10764,10764,0
1,"History Based","100-Day Mission","2020-04-07",10012,10012,0,9454,9454,0,9909,9909,0,10204,10204,0,11028,11028,0
1,"History Based","100-Day Mission","2020-04-08",10193,10193,0,9600,9600,0,10077,10077,0,10359,10359,0,11222,11222,0
1,"History Based","100-Day Mission","2020-04-09",10477,10477,0,9920,9920,0,10290,10290,0,10627,10627,0,11483,11483,0
1,"History Based","100-Day Mission","2020-04-10",10736,10736,0,10148,10148,0,10509,10509,0,10941,10941,0,11700,11700,0
1,"History Based","100-Day Mission","2020-04-11",10963,10963,0,10375,10375,0,10639,10639,0,11163,11163,0,11819,11819,0
1,"History Based","100-Day Mission","2020-04-12",11094,11094,0,10461,10461,0,10776,10776,0,11292,11292,0,11870,11870,0
1,"History Based","100-Day Mission","2020-04-13",11210,11210,0,10536,10536,0,10872,10872,0,11381,11381,0,11888,11888,0
1,"History Based","100-Day Mission","2020-04-14",11284,11284,0,10565,10565,0,11016,11016,0,11432,11432,0,11881,11881,0
1,"History Based","100-Day Mission","2020-04-15",11325,11325,0,10628,10628,0,11083,11083,0,11487,11487,0,11880,11880,0
1,"History Based","100-Day Mission","2020-04-16",11332,11332,0,10617,10617,0,11116,11116,0,11493,11493,0,11866,11866,0
1,"History Based","100-Day Mission","2020-04-17",11329,11329,0,10596,10596,0,11114,11114,0,11482,11482,0,11840,11840,0
1,"History Based","100-Day Mission","2020-04-18",11311,11311,0,10567,10567,0,11102,11102,0,11457,11457,0,11803,11803,0
1,"History Based","100-Day Mission","2020-04-19",11281,11281,0,10528,10528,0,11081,11081,0,11416,11416,0,11757,11757,0
1,"History Based","100-Day Mission","2020-04-20",11240,11240,0,10484,10484,0,11049,11049,0,11371,11371,0,11694,11694,0
1,"History Based","100-Day Mission","2020-04-21",11186,11186,0,10461,10461,0,10994,10994,0,11309,11309,0,11602,11602,0
1,"History Based","100-Day Mission","2020-04-22",11128,11128,0,10390,10390,0,10925,10925,0,11261,11261,0,11526,11526,0
1,"History Based","100-Day Mission","2020-04-23",11084,11084,0,10311,10311,0,10879,10879,0,11223,11223,0,11497,11497,0
1,"History Based","100-Day Mission","2020-04-24",11037,11037,0,10235,10235,0,10824,10824,0,11194,11194,0,11464,11464,0
1,"History Based","100-Day Mission","2020-04-25",11028,11028,0,10202,10202,0,10782,10782,0,11172,11172,0,11509,11509,0
1,"History Based","100-Day Mission","2020-04-26",11018,11018,0,10193,10193,0,10735,10735,0,11161,11161,0,11579,11579,0
1,"History Based","100-Day Mission","2020-04-27",10983,10983,0,10170,10170,0,10684,10684,0,11153,11152,0,11573,11573,0
1,"History Based","100-Day Mission","2020-04-28",10948,10948,0,10135,10135,0,10656,10656,0,11142,11142,0,11555,11555,0
1,"History Based","100-Day Mission","2020-04-29",10943,10943,0,10106,10106,0,10681,10681,0,11128,11128,0,11543,11543,0
1,"History Based","100-Day Mission","2020-04-30",10971,10971,0,10120,10120,0,10707,10707,0,11174,11174,0,11553,11553,0
1,"History Based","100-Day Mission","2020-05-01",11012,11012,0,10219,10219,0,10762,10762,0,11255,11255,0,11584,11584,0
1,"History Based","100-Day Mission","2020-05-02",11058,11058,0,10266,10266,0,10824,10824,0,11324,11324,0,11601,11601,0
1,"History Based","100-Day Mission","2020-05-03",11154,11154,0,10270,10270,0,10867,10867,0,11337,11337,0,11688,11688,0
1,"History Based","100-Day Mission","2020-05-04",11265,11265,0,10304,10304,0,10927,10927,0,11448,11448,0,11818,11818,0
1,"History Based","100-Day Mission","2020-05-05",11308,11308,0,10394,10394,0,10996,10996,0,11494,11494,0,11900,11900,0
1,"History Based","100-Day Mission","2020-05-06",11327,11327,0,10469,10469,0,11061,11061,0,11565,11565,0,11973,11973,0
1,"History Based","100-Day Mission","2020-05-07",11397,11397,0,10501,10501,0,11138,11138,0,11612,11612,0,12024,12024,0
1,"History Based","100-Day Mission","2020-05-08",11448,11448,0,10530,10530,0,11191,11191,0,11672,11672,0,12077,12077,0
1,"History Based","100-Day Mission","2020-05-09",11502,11502,0,10569,10569,0,11236,11236,0,11745,11745,0,12151,12151,0
1,"History Based","100-Day Mission","2020-05-10",11599,11599,0,10665,10665,0,11300,11300,0,11834,11834,0,12239,12239,0
1,"History Based","100-Day Mission","2020-05-11",11694,11694,0,10724,10724,0,11353,11353,0,11891,11891,0,12321,12321,0
1,"History Based","100-Day Mission","2020-05-12",11764,11764,0,10785,10785,0,11420,11420,0,11996,11996,0,12407,12407,0
1,"History Based","100-Day Mission","2020-05-13",11819,11819,0,10848,10848,0,11489,11489,0,12077,12077,0,12496,12496,0
1,"History Based","100-Day Mission","2020-05-14",11880,11880,0,10910,10910,0,11570,11570,0,12180,12180,0,12582,12582,0
1,"History Based","100-Day Mission","2020-05-15",11931,11931,0,10969,10970,0,11632,11632,0,12274,12274,0,12654,12654,0
1,"History Based","100-Day Mission","2020-05-16",11981,11981,0,11030,11030,0,11700,11700,0,12322,12322,0,12733,12733,1
1,"History Based","100-Day Mission","2020-05-17",12031,12031,0,11113,11114,0,11768,11768,0,12372,12372,0,12804,12804,1
1,"History Based","100-Day Mission","2020-05-18",12086,12086,0,11195,11195,0,11820,11821,0,12400,12400,1,12866,12867,1
1,"History Based","100-Day Mission","2020-05-19",12138,12139,1,11247,11248,0,11876,11877,0,12433,12434,1,12925,12926,1
1,"History Based","100-Day Mission","2020-05-20",12211,12212,1,11289,11290,0,11931,11932,1,12506,12507,1,12991,12991,2
1,"History Based","100-Day Mission","2020-05-21",12287,12288,1,11352,11353,0,12004,12005,1,12562,12563,1,13055,13056,2
1,"History Based","100-Day Mission","2020-05-22",12347,12348,1,11419,11420,0,12079,12080,1,12598,12600,2,13105,13106,2
1,"History Based","100-Day Mission","2020-05-23",12383,12385,2,11462,11463,1,12107,12109,1,12634,12636,2,13160,13163,3
1,"History Based","100-Day Mission","2020-05-24",12424,12426,2,11484,11485,1,12176,12178,1,12656,12659,3,13218,13221,4
1,"History Based","100-Day Mission","2020-05-25",12475,12478,2,11514,11515,1,12219,12221,2,12698,12701,3,13267,13270,4
1,"History Based","100-Day Mission","2020-05-26",12504,12507,3,11559,11562,1,12236,12239,2,12735,12738,4,13313,13317,5
1,"History Based","100-Day Mission","2020-05-27",12527,12531,3,11636,11639,2,12288,12292,3,12783,12788,5,13353,13356,6
1,"History Based","100-Day Mission","2020-05-28",12593,12596,4,11717,11721,2,12342,12346,3,12856,12862,5,13417,13422,7
1,"History Based","100-Day Mission","2020-05-29",12645,12649,5,11791,11796,2,12395,12399,4,12930,12937,6,13480,13486,9
1,"History Based","100-Day Mission","2020-05-30",12709,12713,6,11868,11874,3,12454,12460,5,13001,13009,8,13552,13558,10
1,"History Based","100-Day Mission","2020-05-31",12778,12783,7,11962,11969,3,12522,12529,6,13078,13087,9,13631,13639,12
1,"History Based","100-Day Mission","2020-06-01",12858,12865,9,12065,12073,4,12597,12605,7,13173,13185,11,13717,13726,14
1,"History Based","100-Day Mission","2020-06-02",12949,12957,11,12173,12183,5,12680,12690,9,13277,13291,13,13810,13820,17
1,"History Based","100-Day Mission","2020-06-03",13052,13064,13,12282,12294,5,12771,12784,11,13375,13393,16,13900,13912,20
1,"History Based","100-Day Mission","2020-06-04",13159,13175,16,12397,12412,6,12878,12893,14,13482,13500,19,13990,14005,23
1,"History Based","100-Day Mission","2020-06-05",13271,13289,19,12535,12554,7,12993,13012,17,13600,13617,23,14090,14107,27
1,"History Based","100-Day Mission","2020-06-06",13382,13400,23,12683,12705,8,13118,13140,21,13727,13744,27,14199,14219,32
1,"History Based","100-Day Mission","2020-06-07",13496,13515,27,12803,12821,9,13243,13270,25,13844,13872,31,14329,14352,37
1,"History Based","100-Day Mission","2020-06-08",13639,13670,32,12925,12954,10,13371,13404,30,13974,14009,37,14467,14495,42
1,"History Based","100-Day Mission","2020-06-09",13757,13797,38,13122,13155,12,13522,13559,35,14116,14158,43,14609,14648,49
1,"History Based","100-Day Mission","2020-06-10",13897,13944,44,13280,13328,13,13658,13704,40,14273,14321,49,14775,14827,55
1,"History Based","100-Day Mission","2020-06-11",14079,14122,51,13443,13500,15,13823,13875,47,14418,14477,56,14908,14967,63
1,"History Based","100-Day Mission","2020-06-12",14218,14264,58,13613,13679,16,13971,14031,54,14571,14634,64,15050,15115,70
1,"History Based","100-Day Mission","2020-06-13",14400,14449,66,13798,13874,19,14123,14191,62,14730,14799,73,15195,15263,79
1,"History Based","100-Day Mission","2020-06-14",14561,14628,76,13998,14079,21,14287,14362,71,14904,14955,81,15351,15428,88
1,"History Based","100-Day Mission","2020-06-15",14707,14795,86,14165,14258,24,14471,14549,82,15052,15110,90,15515,15596,98
1,"History Based","100-Day Mission","2020-06-16",14857,14950,97,14318,14422,27,14628,14724,93,15182,15270,101,15670,15764,110
1,"History Based","100-Day Mission","2020-06-17",15035,15132,108,14515,14632,30,14827,14931,105,15313,15415,111,15828,15940,124
1,"History Based","100-Day Mission","2020-06-18",15205,15326,120,14672,14803,34,15007,15130,117,15482,15598,124,15993,16120,140
1,"History Based","100-Day Mission","2020-06-19",15394,15496,134,14830,14974,39,15182,15306,128,15625,15759,137,16171,16309,156
1,"History Based","100-Day Mission","2020-06-20",15573,15696,147,15008,15156,43,15363,15508,139,15802,15940,151,16371,16521,173
1,"History Based","100-Day Mission","2020-06-21",15760,15873,160,15199,15353,48,15524,15685,149,16031,16150,165,16581,16742,191
1,"History Based","100-Day Mission","2020-06-22",15954,16091,174,15360,15538,53,15743,15867,160,16218,16351,182,16785,16958,209
1,"History Based","100-Day Mission","2020-06-23",16178,16343,187,15520,15715,58,15931,16094,171,16404,16537,199,16984,17169,229
1,"History Based","100-Day Mission","2020-06-24",16437,16596,200,15694,15906,63,16125,16324,183,16653,16756,218,17184,17381,249
1,"History Based","100-Day Mission","2020-06-25",16665,16857,218,15891,16121,70,16345,16555,196,16879,17015,237,17462,17676,270
1,"History Based","100-Day Mission","2020-06-26",16899,17116,231,16090,16339,77,16581,16816,209,17127,17278,256,17665,17879,296
1,"History Based","100-Day Mission","2020-06-27",17151,17398,246,16284,16544,84,16825,17087,223,17357,17568,277,17913,18121,320
1,"History Based","100-Day Mission","2020-06-28",17414,17681,262,16458,16740,93,17095,17371,239,17636,17853,300,18098,18321,345
1,"History Based","100-Day Mission","2020-06-29",17696,17965,280,16635,16941,102,17334,17649,255,17887,18142,325,18368,18567,371
1,"History Based","100-Day Mission","2020-06-30",17938,18224,300,16851,17159,111,17575,17892,273,18152,18434,351,18647,18896,399
1,"History Based","100-Day Mission","2020-07-01",18188,18482,329,17241,17572,125,17796,18154,292,18352,18691,379,18885,19193,428
1,"History Based","100-Day Mission","2020-07-02",18423,18751,358,17591,17907,137,18104,18448,312,18608,18927,406,19064,19383,459
1,"History Based","100-Day Mission","2020-07-03",18660,19030,388,17865,18223,150,18367,18806,335,18815,19156,436,19205,19560,492
1,"History Based","100-Day Mission","2020-07-04",18885,19299,427,18290,18652,167,18691,19095,359,19028,19399,469,19352,19750,531
1,"History Based","100-Day Mission","2020-07-05",19095,19529,459,18595,19044,182,18951,19395,383,19286,19646,504,19553,19939,568
1,"History Based","100-Day Mission","2020-07-06",19321,19766,486,18810,19272,198,19184,19663,408,19486,19873,540,19747,20132,608
1,"History Based","100-Day Mission","2020-07-07",19521,20007,525,19036,19500,215,19376,19875,436,19682,20109,579,19970,20337,652
1,"History Based","100-Day Mission","2020-07-08",19713,20225,567,19246,19716,236,19549,20105,465,19869,20333,620,20202,20544,698
1,"History Based","100-Day Mission","2020-07-09",19894,20476,608,19430,19933,256,19720,20336,496,20040,20552,661,20381,20751,742
1,"History Based","100-Day Mission","2020-07-10",20060,20704,649,19633,20177,278,19903,20555,530,20227,20762,703,20527,20951,794
1,"History Based","100-Day Mission","2020-07-11",20226,20916,695,19797,20431,302,20081,20770,565,20398,20977,750,20704,21163,874
1,"History Based","100-Day Mission","2020-07-12",20378,21132,748,19976,20655,327,20259,20998,601,20598,21215,800,20898,21372,951
1,"History Based","100-Day Mission","2020-07-13",20529,21317,800,20112,20868,353,20404,21190,639,20754,21404,854,21117,21787,1027
1,"History Based","100-Day Mission","2020-07-14",20650,21480,848,20227,21051,378,20511,21356,680,20925,21576,912,21477,22220,1077
1,"History Based","100-Day Mission","2020-07-15",20749,21629,904,20331,21246,406,20613,21513,728,21037,21726,973,21757,22550,1133
1,"History Based","100-Day Mission","2020-07-16",20844,21773,956,20419,21519,437,20709,21661,776,21125,21864,1038,21961,22803,1193
