"open_date","scenario","iso3c"
NA,1,"ABW"
2021-04-27,2,"ABW"
2020-09-30,3,"ABW"
NA,4,"ABW"
2020-07-09,5,"ABW"
2020-06-10,6,"ABW"
NA,7,"ABW"
2020-10-10,8,"ABW"
2020-09-23,9,"ABW"
NA,10,"ABW"
2020-06-20,11,"ABW"
2020-06-04,12,"ABW"
NA,1,"AFG"
2021-04-27,2,"AFG"
2020-09-30,3,"AFG"
NA,4,"AFG"
2020-07-09,5,"AFG"
2020-06-10,6,"AFG"
NA,7,"AFG"
2020-10-10,8,"AFG"
2020-09-23,9,"AFG"
NA,10,"AFG"
2020-06-20,11,"AFG"
2020-06-04,12,"AFG"
NA,1,"AGO"
2021-04-27,2,"AGO"
2020-09-30,3,"AGO"
NA,4,"AGO"
2020-07-09,5,"AGO"
2020-06-10,6,"AGO"
NA,7,"AGO"
2020-10-10,8,"AGO"
2020-09-23,9,"AGO"
NA,10,"AGO"
2020-06-20,11,"AGO"
2020-06-04,12,"AGO"
NA,1,"ALB"
2021-04-27,2,"ALB"
2020-09-30,3,"ALB"
NA,4,"ALB"
2020-07-09,5,"ALB"
2020-06-10,6,"ALB"
NA,7,"ALB"
2020-10-10,8,"ALB"
2020-09-23,9,"ALB"
NA,10,"ALB"
2020-06-20,11,"ALB"
2020-06-04,12,"ALB"
NA,1,"ARE"
2021-04-27,2,"ARE"
2020-09-30,3,"ARE"
NA,4,"ARE"
2020-07-09,5,"ARE"
2020-06-10,6,"ARE"
NA,7,"ARE"
2020-10-10,8,"ARE"
2020-09-23,9,"ARE"
NA,10,"ARE"
2020-06-20,11,"ARE"
2020-06-04,12,"ARE"
NA,1,"ARG"
2021-04-27,2,"ARG"
2020-09-30,3,"ARG"
NA,4,"ARG"
2020-07-09,5,"ARG"
2020-06-10,6,"ARG"
NA,7,"ARG"
2020-10-10,8,"ARG"
2020-09-23,9,"ARG"
NA,10,"ARG"
2020-06-20,11,"ARG"
2020-06-04,12,"ARG"
NA,1,"ARM"
2021-04-27,2,"ARM"
2020-09-30,3,"ARM"
NA,4,"ARM"
2020-07-09,5,"ARM"
2020-06-10,6,"ARM"
NA,7,"ARM"
2020-10-10,8,"ARM"
2020-09-23,9,"ARM"
NA,10,"ARM"
2020-06-20,11,"ARM"
2020-06-04,12,"ARM"
NA,1,"ATG"
2021-04-27,2,"ATG"
2020-09-30,3,"ATG"
NA,4,"ATG"
2020-07-09,5,"ATG"
2020-06-10,6,"ATG"
NA,7,"ATG"
2020-10-10,8,"ATG"
2020-09-23,9,"ATG"
NA,10,"ATG"
2020-06-20,11,"ATG"
2020-06-04,12,"ATG"
NA,1,"AUS"
2021-04-27,2,"AUS"
2020-09-30,3,"AUS"
NA,4,"AUS"
2020-07-09,5,"AUS"
2020-06-10,6,"AUS"
NA,7,"AUS"
2020-10-10,8,"AUS"
2020-09-23,9,"AUS"
NA,10,"AUS"
2020-06-20,11,"AUS"
2020-06-04,12,"AUS"
NA,1,"AUT"
2021-04-27,2,"AUT"
2020-09-30,3,"AUT"
NA,4,"AUT"
2020-07-09,5,"AUT"
2020-06-10,6,"AUT"
NA,7,"AUT"
2020-10-10,8,"AUT"
2020-09-23,9,"AUT"
NA,10,"AUT"
2020-06-20,11,"AUT"
2020-06-04,12,"AUT"
NA,1,"AZE"
2021-04-27,2,"AZE"
2020-09-30,3,"AZE"
NA,4,"AZE"
2020-07-09,5,"AZE"
2020-06-10,6,"AZE"
NA,7,"AZE"
2020-10-10,8,"AZE"
2020-09-23,9,"AZE"
NA,10,"AZE"
2020-06-20,11,"AZE"
2020-06-04,12,"AZE"
NA,1,"BDI"
2021-04-27,2,"BDI"
2020-09-30,3,"BDI"
NA,4,"BDI"
2020-07-09,5,"BDI"
2020-06-10,6,"BDI"
NA,7,"BDI"
2020-10-10,8,"BDI"
2020-09-23,9,"BDI"
NA,10,"BDI"
2020-06-20,11,"BDI"
2020-06-04,12,"BDI"
NA,1,"BEL"
2021-04-27,2,"BEL"
2020-09-30,3,"BEL"
NA,4,"BEL"
2020-07-09,5,"BEL"
2020-06-10,6,"BEL"
NA,7,"BEL"
2020-10-10,8,"BEL"
2020-09-23,9,"BEL"
NA,10,"BEL"
2020-06-20,11,"BEL"
2020-06-04,12,"BEL"
NA,1,"BEN"
2021-04-27,2,"BEN"
2020-09-30,3,"BEN"
NA,4,"BEN"
2020-07-09,5,"BEN"
2020-06-10,6,"BEN"
NA,7,"BEN"
2020-10-10,8,"BEN"
2020-09-23,9,"BEN"
NA,10,"BEN"
2020-06-20,11,"BEN"
2020-06-04,12,"BEN"
NA,1,"BFA"
2021-04-27,2,"BFA"
2020-09-30,3,"BFA"
NA,4,"BFA"
2020-07-09,5,"BFA"
2020-06-10,6,"BFA"
NA,7,"BFA"
2020-10-10,8,"BFA"
