"open_date","scenario","iso3c"
2020-09-23,9,"BFA"
NA,10,"BFA"
2020-06-20,11,"BFA"
2020-06-04,12,"BFA"
NA,1,"BGD"
2021-04-27,2,"BGD"
2020-09-30,3,"BGD"
NA,4,"BGD"
2020-07-09,5,"BGD"
2020-06-10,6,"BGD"
NA,7,"BGD"
2020-10-10,8,"BGD"
2020-09-23,9,"BGD"
NA,10,"BGD"
2020-06-20,11,"BGD"
2020-06-04,12,"BGD"
NA,1,"BGR"
2021-04-27,2,"BGR"
2020-09-30,3,"BGR"
NA,4,"BGR"
2020-07-09,5,"BGR"
2020-06-10,6,"BGR"
NA,7,"BGR"
2020-10-10,8,"BGR"
2020-09-23,9,"BGR"
NA,10,"BGR"
2020-06-20,11,"BGR"
2020-06-04,12,"BGR"
NA,1,"BHR"
2021-04-27,2,"BHR"
2020-09-30,3,"BHR"
NA,4,"BHR"
2020-07-09,5,"BHR"
2020-06-10,6,"BHR"
NA,7,"BHR"
2020-10-10,8,"BHR"
2020-09-23,9,"BHR"
NA,10,"BHR"
2020-06-20,11,"BHR"
2020-06-04,12,"BHR"
NA,1,"BHS"
2021-04-27,2,"BHS"
2020-09-30,3,"BHS"
NA,4,"BHS"
2020-07-09,5,"BHS"
2020-06-10,6,"BHS"
NA,7,"BHS"
2020-10-10,8,"BHS"
2020-09-23,9,"BHS"
NA,10,"BHS"
2020-06-20,11,"BHS"
2020-06-04,12,"BHS"
NA,1,"BIH"
2021-04-27,2,"BIH"
2020-09-30,3,"BIH"
NA,4,"BIH"
2020-07-09,5,"BIH"
2020-06-10,6,"BIH"
NA,7,"BIH"
2020-10-10,8,"BIH"
2020-09-23,9,"BIH"
NA,10,"BIH"
2020-06-20,11,"BIH"
2020-06-04,12,"BIH"
NA,1,"BLR"
2021-04-27,2,"BLR"
2020-09-30,3,"BLR"
NA,4,"BLR"
2020-07-09,5,"BLR"
2020-06-10,6,"BLR"
NA,7,"BLR"
2020-10-10,8,"BLR"
2020-09-23,9,"BLR"
NA,10,"BLR"
2020-06-20,11,"BLR"
2020-06-04,12,"BLR"
NA,1,"BLZ"
2021-04-27,2,"BLZ"
2020-09-30,3,"BLZ"
NA,4,"BLZ"
2020-07-09,5,"BLZ"
2020-06-10,6,"BLZ"
NA,7,"BLZ"
2020-10-10,8,"BLZ"
2020-09-23,9,"BLZ"
NA,10,"BLZ"
2020-06-20,11,"BLZ"
2020-06-04,12,"BLZ"
NA,1,"BOL"
2021-04-27,2,"BOL"
2020-09-30,3,"BOL"
NA,4,"BOL"
2020-07-09,5,"BOL"
2020-06-10,6,"BOL"
NA,7,"BOL"
2020-10-10,8,"BOL"
2020-09-23,9,"BOL"
NA,10,"BOL"
2020-06-20,11,"BOL"
2020-06-04,12,"BOL"
NA,1,"BRA"
2021-04-27,2,"BRA"
2020-09-30,3,"BRA"
NA,4,"BRA"
2020-07-09,5,"BRA"
2020-06-10,6,"BRA"
NA,7,"BRA"
2020-10-10,8,"BRA"
2020-09-23,9,"BRA"
NA,10,"BRA"
2020-06-20,11,"BRA"
2020-06-04,12,"BRA"
NA,1,"BRB"
2021-04-27,2,"BRB"
2020-09-30,3,"BRB"
NA,4,"BRB"
2020-07-09,5,"BRB"
2020-06-10,6,"BRB"
NA,7,"BRB"
2020-10-10,8,"BRB"
2020-09-23,9,"BRB"
NA,10,"BRB"
2020-06-20,11,"BRB"
2020-06-04,12,"BRB"
NA,1,"BRN"
2021-04-27,2,"BRN"
2020-09-30,3,"BRN"
NA,4,"BRN"
2020-07-09,5,"BRN"
2020-06-10,6,"BRN"
NA,7,"BRN"
2020-10-10,8,"BRN"
2020-09-23,9,"BRN"
NA,10,"BRN"
2020-06-20,11,"BRN"
2020-06-04,12,"BRN"
NA,1,"BTN"
2021-04-27,2,"BTN"
2020-09-30,3,"BTN"
NA,4,"BTN"
2020-07-09,5,"BTN"
2020-06-10,6,"BTN"
NA,7,"BTN"
2020-10-10,8,"BTN"
2020-09-23,9,"BTN"
NA,10,"BTN"
2020-06-20,11,"BTN"
2020-06-04,12,"BTN"
NA,1,"BWA"
2021-04-27,2,"BWA"
2020-09-30,3,"BWA"
NA,4,"BWA"
2020-07-09,5,"BWA"
2020-06-10,6,"BWA"
NA,7,"BWA"
2020-10-10,8,"BWA"
2020-09-23,9,"BWA"
NA,10,"BWA"
2020-06-20,11,"BWA"
2020-06-04,12,"BWA"
NA,1,"CAF"
2021-04-27,2,"CAF"
2020-09-30,3,"CAF"
NA,4,"CAF"
2020-07-09,5,"CAF"
2020-06-10,6,"CAF"
NA,7,"CAF"
2020-10-10,8,"CAF"
2020-09-23,9,"CAF"
NA,10,"CAF"
2020-06-20,11,"CAF"
2020-06-04,12,"CAF"
NA,1,"CAN"
2021-04-27,2,"CAN"
2020-09-30,3,"CAN"
NA,4,"CAN"
2020-07-09,5,"CAN"
2020-06-10,6,"CAN"
NA,7,"CAN"
2020-10-10,8,"CAN"
2020-09-23,9,"CAN"
NA,10,"CAN"
2020-06-20,11,"CAN"
2020-06-04,12,"CAN"
NA,1,"CHE"
2021-04-27,2,"CHE"
2020-09-30,3,"CHE"
NA,4,"CHE"
2020-07-09,5,"CHE"
2020-06-10,6,"CHE"
NA,7,"CHE"
2020-10-10,8,"CHE"
2020-09-23,9,"CHE"
NA,10,"CHE"
2020-06-20,11,"CHE"
2020-06-04,12,"CHE"
NA,1,"CHL"
2021-04-27,2,"CHL"
2020-09-30,3,"CHL"
NA,4,"CHL"
2020-07-09,5,"CHL"
2020-06-10,6,"CHL"
NA,7,"CHL"
2020-10-10,8,"CHL"
2020-09-23,9,"CHL"
NA,10,"CHL"
2020-06-20,11,"CHL"
2020-06-04,12,"CHL"
NA,1,"CIV"
2021-04-27,2,"CIV"
2020-09-30,3,"CIV"
NA,4,"CIV"
2020-07-09,5,"CIV"
2020-06-10,6,"CIV"
NA,7,"CIV"
2020-10-10,8,"CIV"
2020-09-23,9,"CIV"
NA,10,"CIV"
2020-06-20,11,"CIV"
2020-06-04,12,"CIV"
NA,1,"CMR"
2021-04-27,2,"CMR"
2020-09-30,3,"CMR"
NA,4,"CMR"
2020-07-09,5,"CMR"
2020-06-10,6,"CMR"
NA,7,"CMR"
2020-10-10,8,"CMR"
2020-09-23,9,"CMR"
NA,10,"CMR"
2020-06-20,11,"CMR"
2020-06-04,12,"CMR"
NA,1,"COD"
2021-04-27,2,"COD"
2020-09-30,3,"COD"
NA,4,"COD"
2020-07-09,5,"COD"
2020-06-10,6,"COD"
NA,7,"COD"
2020-10-10,8,"COD"
2020-09-23,9,"COD"
NA,10,"COD"
2020-06-20,11,"COD"
2020-06-04,12,"COD"
NA,1,"COG"
2021-04-27,2,"COG"
2020-09-30,3,"COG"
NA,4,"COG"
2020-07-09,5,"COG"
2020-06-10,6,"COG"
NA,7,"COG"
2020-10-10,8,"COG"
2020-09-23,9,"COG"
NA,10,"COG"
2020-06-20,11,"COG"
2020-06-04,12,"COG"
NA,1,"COL"
2021-04-27,2,"COL"
2020-09-30,3,"COL"
NA,4,"COL"
2020-07-09,5,"COL"
2020-06-10,6,"COL"
NA,7,"COL"
2020-10-10,8,"COL"
2020-09-23,9,"COL"
NA,10,"COL"
2020-06-20,11,"COL"
2020-06-04,12,"COL"
NA,1,"COM"
2021-04-27,2,"COM"
2020-09-30,3,"COM"
NA,4,"COM"
2020-07-09,5,"COM"
2020-06-10,6,"COM"
NA,7,"COM"
2020-10-10,8,"COM"
2020-09-23,9,"COM"
NA,10,"COM"
2020-06-20,11,"COM"
2020-06-04,12,"COM"
NA,1,"CPV"
2021-04-27,2,"CPV"
2020-09-30,3,"CPV"
NA,4,"CPV"
2020-07-09,5,"CPV"
2020-06-10,6,"CPV"
NA,7,"CPV"
2020-10-10,8,"CPV"
2020-09-23,9,"CPV"
NA,10,"CPV"
2020-06-20,11,"CPV"
2020-06-04,12,"CPV"
NA,1,"CRI"
2021-04-27,2,"CRI"
2020-09-30,3,"CRI"
NA,4,"CRI"
2020-07-09,5,"CRI"
2020-06-10,6,"CRI"
NA,7,"CRI"
2020-10-10,8,"CRI"
2020-09-23,9,"CRI"
NA,10,"CRI"
2020-06-20,11,"CRI"
2020-06-04,12,"CRI"
NA,1,"CUB"
2021-04-27,2,"CUB"
2020-09-30,3,"CUB"
NA,4,"CUB"
2020-07-09,5,"CUB"
2020-06-10,6,"CUB"
NA,7,"CUB"
2020-10-10,8,"CUB"
2020-09-23,9,"CUB"
NA,10,"CUB"
2020-06-20,11,"CUB"
2020-06-04,12,"CUB"
NA,1,"CUW"
2021-04-27,2,"CUW"
2020-09-30,3,"CUW"
NA,4,"CUW"
2020-07-09,5,"CUW"
2020-06-10,6,"CUW"
NA,7,"CUW"
2020-10-10,8,"CUW"
2020-09-23,9,"CUW"
NA,10,"CUW"
2020-06-20,11,"CUW"
2020-06-04,12,"CUW"
NA,1,"CYP"
2021-04-27,2,"CYP"
2020-09-30,3,"CYP"
NA,4,"CYP"
2020-07-09,5,"CYP"
2020-06-10,6,"CYP"
NA,7,"CYP"
2020-10-10,8,"CYP"
2020-09-23,9,"CYP"
NA,10,"CYP"
2020-06-20,11,"CYP"
2020-06-04,12,"CYP"
NA,1,"CZE"
2021-04-27,2,"CZE"
2020-09-30,3,"CZE"
NA,4,"CZE"
2020-07-09,5,"CZE"
2020-06-10,6,"CZE"
NA,7,"CZE"
2020-10-10,8,"CZE"
2020-09-23,9,"CZE"
NA,10,"CZE"
2020-06-20,11,"CZE"
2020-06-04,12,"CZE"
NA,1,"DEU"
2021-04-27,2,"DEU"
2020-09-30,3,"DEU"
NA,4,"DEU"
2020-07-09,5,"DEU"
2020-06-10,6,"DEU"
NA,7,"DEU"
2020-10-10,8,"DEU"
2020-09-23,9,"DEU"
NA,10,"DEU"
2020-06-20,11,"DEU"
2020-06-04,12,"DEU"
NA,1,"DJI"
2021-04-27,2,"DJI"
2020-09-30,3,"DJI"
NA,4,"DJI"
2020-07-09,5,"DJI"
2020-06-10,6,"DJI"
NA,7,"DJI"
2020-10-10,8,"DJI"
2020-09-23,9,"DJI"
NA,10,"DJI"
2020-06-20,11,"DJI"
2020-06-04,12,"DJI"
NA,1,"DNK"
2021-04-27,2,"DNK"
2020-09-30,3,"DNK"
NA,4,"DNK"
2020-07-09,5,"DNK"
2020-06-10,6,"DNK"
NA,7,"DNK"
2020-10-10,8,"DNK"
2020-09-23,9,"DNK"
NA,10,"DNK"
2020-06-20,11,"DNK"
2020-06-04,12,"DNK"
NA,1,"DOM"
2021-04-27,2,"DOM"
2020-09-30,3,"DOM"
NA,4,"DOM"
2020-07-09,5,"DOM"
2020-06-10,6,"DOM"
NA,7,"DOM"
2020-10-10,8,"DOM"
2020-09-23,9,"DOM"
NA,10,"DOM"
2020-06-20,11,"DOM"
2020-06-04,12,"DOM"
NA,1,"DZA"
2021-04-27,2,"DZA"
2020-09-30,3,"DZA"
NA,4,"DZA"
2020-07-09,5,"DZA"
2020-06-10,6,"DZA"
NA,7,"DZA"
2020-10-10,8,"DZA"
2020-09-23,9,"DZA"
NA,10,"DZA"
2020-06-20,11,"DZA"
2020-06-04,12,"DZA"
NA,1,"ECU"
2021-04-27,2,"ECU"
2020-09-30,3,"ECU"
NA,4,"ECU"
2020-07-09,5,"ECU"
2020-06-10,6,"ECU"
NA,7,"ECU"
2020-10-10,8,"ECU"
2020-09-23,9,"ECU"
NA,10,"ECU"
2020-06-20,11,"ECU"
2020-06-04,12,"ECU"
NA,1,"EGY"
2021-04-27,2,"EGY"
2020-09-30,3,"EGY"
NA,4,"EGY"
2020-07-09,5,"EGY"
2020-06-10,6,"EGY"
NA,7,"EGY"
2020-10-10,8,"EGY"
2020-09-23,9,"EGY"
NA,10,"EGY"
2020-06-20,11,"EGY"
2020-06-04,12,"EGY"
NA,1,"ESP"
2021-04-27,2,"ESP"
2020-09-30,3,"ESP"
NA,4,"ESP"
2020-07-09,5,"ESP"
2020-06-10,6,"ESP"
NA,7,"ESP"
2020-10-10,8,"ESP"
2020-09-23,9,"ESP"
NA,10,"ESP"
2020-06-20,11,"ESP"
2020-06-04,12,"ESP"
NA,1,"EST"
2021-04-27,2,"EST"
2020-09-30,3,"EST"
NA,4,"EST"
2020-07-09,5,"EST"
2020-06-10,6,"EST"
NA,7,"EST"
2020-10-10,8,"EST"
2020-09-23,9,"EST"
NA,10,"EST"
2020-06-20,11,"EST"
2020-06-04,12,"EST"
NA,1,"ETH"
2021-04-27,2,"ETH"
2020-09-30,3,"ETH"
NA,4,"ETH"
2020-07-09,5,"ETH"
2020-06-10,6,"ETH"
NA,7,"ETH"
2020-10-10,8,"ETH"
2020-09-23,9,"ETH"
NA,10,"ETH"
2020-06-20,11,"ETH"
2020-06-04,12,"ETH"
NA,1,"FIN"
2021-04-27,2,"FIN"
2020-09-30,3,"FIN"
NA,4,"FIN"
2020-07-09,5,"FIN"
2020-06-10,6,"FIN"
NA,7,"FIN"
2020-10-10,8,"FIN"
2020-09-23,9,"FIN"
NA,10,"FIN"
2020-06-20,11,"FIN"
2020-06-04,12,"FIN"
NA,1,"FJI"
2021-04-27,2,"FJI"
2020-09-30,3,"FJI"
NA,4,"FJI"
2020-07-09,5,"FJI"
2020-06-10,6,"FJI"
NA,7,"FJI"
2020-10-10,8,"FJI"
2020-09-23,9,"FJI"
NA,10,"FJI"
2020-06-20,11,"FJI"
2020-06-04,12,"FJI"
NA,1,"FRA"
2021-04-27,2,"FRA"
2020-09-30,3,"FRA"
NA,4,"FRA"
2020-07-09,5,"FRA"
2020-06-10,6,"FRA"
NA,7,"FRA"
2020-10-10,8,"FRA"
2020-09-23,9,"FRA"
NA,10,"FRA"
2020-06-20,11,"FRA"
2020-06-04,12,"FRA"
NA,1,"GAB"
2021-04-27,2,"GAB"
2020-09-30,3,"GAB"
NA,4,"GAB"
2020-07-09,5,"GAB"
2020-06-10,6,"GAB"
NA,7,"GAB"
2020-10-10,8,"GAB"
2020-09-23,9,"GAB"
NA,10,"GAB"
2020-06-20,11,"GAB"
2020-06-04,12,"GAB"
NA,1,"GBR"
2021-04-27,2,"GBR"
2020-09-30,3,"GBR"
NA,4,"GBR"
2020-07-09,5,"GBR"
2020-06-10,6,"GBR"
NA,7,"GBR"
2020-10-10,8,"GBR"
2020-09-23,9,"GBR"
NA,10,"GBR"
2020-06-20,11,"GBR"
2020-06-04,12,"GBR"
NA,1,"GEO"
2021-04-27,2,"GEO"
2020-09-30,3,"GEO"
NA,4,"GEO"
2020-07-09,5,"GEO"
2020-06-10,6,"GEO"
NA,7,"GEO"
2020-10-10,8,"GEO"
2020-09-23,9,"GEO"
NA,10,"GEO"
2020-06-20,11,"GEO"
2020-06-04,12,"GEO"
NA,1,"GHA"
2021-04-27,2,"GHA"
2020-09-30,3,"GHA"
NA,4,"GHA"
2020-07-09,5,"GHA"
2020-06-10,6,"GHA"
NA,7,"GHA"
2020-10-10,8,"GHA"
2020-09-23,9,"GHA"
NA,10,"GHA"
2020-06-20,11,"GHA"
2020-06-04,12,"GHA"
NA,1,"GIN"
2021-04-27,2,"GIN"
2020-09-30,3,"GIN"
NA,4,"GIN"
2020-07-09,5,"GIN"
2020-06-10,6,"GIN"
NA,7,"GIN"
2020-10-10,8,"GIN"
2020-09-23,9,"GIN"
NA,10,"GIN"
2020-06-20,11,"GIN"
2020-06-04,12,"GIN"
NA,1,"GMB"
2021-04-27,2,"GMB"
2020-09-30,3,"GMB"
NA,4,"GMB"
2020-07-09,5,"GMB"
2020-06-10,6,"GMB"
NA,7,"GMB"
2020-10-10,8,"GMB"
2020-09-23,9,"GMB"
NA,10,"GMB"
2020-06-20,11,"GMB"
2020-06-04,12,"GMB"
NA,1,"GNB"
2021-04-27,2,"GNB"
2020-09-30,3,"GNB"
NA,4,"GNB"
2020-07-09,5,"GNB"
2020-06-10,6,"GNB"
NA,7,"GNB"
2020-10-10,8,"GNB"
2020-09-23,9,"GNB"
NA,10,"GNB"
2020-06-20,11,"GNB"
2020-06-04,12,"GNB"
NA,1,"GNQ"
2021-04-27,2,"GNQ"
2020-09-30,3,"GNQ"
NA,4,"GNQ"
2020-07-09,5,"GNQ"
2020-06-10,6,"GNQ"
NA,7,"GNQ"
2020-10-10,8,"GNQ"
2020-09-23,9,"GNQ"
NA,10,"GNQ"
2020-06-20,11,"GNQ"
2020-06-04,12,"GNQ"
NA,1,"GRC"
2021-04-27,2,"GRC"
2020-09-30,3,"GRC"
NA,4,"GRC"
2020-07-09,5,"GRC"
2020-06-10,6,"GRC"
NA,7,"GRC"
2020-10-10,8,"GRC"
2020-09-23,9,"GRC"
NA,10,"GRC"
2020-06-20,11,"GRC"
2020-06-04,12,"GRC"
NA,1,"GRD"
2021-04-27,2,"GRD"
2020-09-30,3,"GRD"
NA,4,"GRD"
2020-07-09,5,"GRD"
2020-06-10,6,"GRD"
NA,7,"GRD"
2020-10-10,8,"GRD"
2020-09-23,9,"GRD"
NA,10,"GRD"
2020-06-20,11,"GRD"
2020-06-04,12,"GRD"
NA,1,"GTM"
2021-04-27,2,"GTM"
2020-09-30,3,"GTM"
NA,4,"GTM"
2020-07-09,5,"GTM"
2020-06-10,6,"GTM"
NA,7,"GTM"
2020-10-10,8,"GTM"
2020-09-23,9,"GTM"
NA,10,"GTM"
2020-06-20,11,"GTM"
2020-06-04,12,"GTM"
NA,1,"GUM"
2021-04-27,2,"GUM"
2020-09-30,3,"GUM"
NA,4,"GUM"
2020-07-09,5,"GUM"
2020-06-10,6,"GUM"
NA,7,"GUM"
2020-10-10,8,"GUM"
2020-09-23,9,"GUM"
NA,10,"GUM"
2020-06-20,11,"GUM"
2020-06-04,12,"GUM"
NA,1,"GUY"
2021-04-27,2,"GUY"
2020-09-30,3,"GUY"
NA,4,"GUY"
2020-07-09,5,"GUY"
2020-06-10,6,"GUY"
NA,7,"GUY"
2020-10-10,8,"GUY"
2020-09-23,9,"GUY"
NA,10,"GUY"
2020-06-20,11,"GUY"
2020-06-04,12,"GUY"
NA,1,"HKG"
2021-04-27,2,"HKG"
2020-09-30,3,"HKG"
NA,4,"HKG"
2020-07-09,5,"HKG"
2020-06-10,6,"HKG"
NA,7,"HKG"
2020-10-10,8,"HKG"
2020-09-23,9,"HKG"
NA,10,"HKG"
2020-06-20,11,"HKG"
2020-06-04,12,"HKG"
NA,1,"HND"
2021-04-27,2,"HND"
2020-09-30,3,"HND"
NA,4,"HND"
2020-07-09,5,"HND"
2020-06-10,6,"HND"
NA,7,"HND"
2020-10-10,8,"HND"
2020-09-23,9,"HND"
NA,10,"HND"
2020-06-20,11,"HND"
2020-06-04,12,"HND"
NA,1,"HRV"
2021-04-27,2,"HRV"
2020-09-30,3,"HRV"
NA,4,"HRV"
2020-07-09,5,"HRV"
2020-06-10,6,"HRV"
NA,7,"HRV"
2020-10-10,8,"HRV"
2020-09-23,9,"HRV"
NA,10,"HRV"
2020-06-20,11,"HRV"
2020-06-04,12,"HRV"
NA,1,"HTI"
2021-04-27,2,"HTI"
2020-09-30,3,"HTI"
NA,4,"HTI"
2020-07-09,5,"HTI"
2020-06-10,6,"HTI"
NA,7,"HTI"
2020-10-10,8,"HTI"
2020-09-23,9,"HTI"
NA,10,"HTI"
2020-06-20,11,"HTI"
2020-06-04,12,"HTI"
NA,1,"HUN"
2021-04-27,2,"HUN"
2020-09-30,3,"HUN"
NA,4,"HUN"
2020-07-09,5,"HUN"
2020-06-10,6,"HUN"
NA,7,"HUN"
2020-10-10,8,"HUN"
2020-09-23,9,"HUN"
NA,10,"HUN"
2020-06-20,11,"HUN"
2020-06-04,12,"HUN"
NA,1,"IDN"
2021-04-27,2,"IDN"
2020-09-30,3,"IDN"
NA,4,"IDN"
2020-07-09,5,"IDN"
2020-06-10,6,"IDN"
NA,7,"IDN"
2020-10-10,8,"IDN"
2020-09-23,9,"IDN"
NA,10,"IDN"
2020-06-20,11,"IDN"
2020-06-04,12,"IDN"
NA,1,"IND"
2021-04-27,2,"IND"
2020-09-30,3,"IND"
NA,4,"IND"
2020-07-09,5,"IND"
2020-06-10,6,"IND"
NA,7,"IND"
2020-10-10,8,"IND"
2020-09-23,9,"IND"
NA,10,"IND"
2020-06-20,11,"IND"
2020-06-04,12,"IND"
NA,1,"IRL"
2021-04-27,2,"IRL"
2020-09-30,3,"IRL"
NA,4,"IRL"
2020-07-09,5,"IRL"
2020-06-10,6,"IRL"
NA,7,"IRL"
2020-10-10,8,"IRL"
2020-09-23,9,"IRL"
NA,10,"IRL"
2020-06-20,11,"IRL"
2020-06-04,12,"IRL"
NA,1,"IRN"
2021-04-27,2,"IRN"
2020-09-30,3,"IRN"
NA,4,"IRN"
2020-07-09,5,"IRN"
2020-06-10,6,"IRN"
NA,7,"IRN"
2020-10-10,8,"IRN"
2020-09-23,9,"IRN"
NA,10,"IRN"
2020-06-20,11,"IRN"
2020-06-04,12,"IRN"
NA,1,"IRQ"
2021-04-27,2,"IRQ"
2020-09-30,3,"IRQ"
NA,4,"IRQ"
2020-07-09,5,"IRQ"
2020-06-10,6,"IRQ"
NA,7,"IRQ"
2020-10-10,8,"IRQ"
2020-09-23,9,"IRQ"
NA,10,"IRQ"
2020-06-20,11,"IRQ"
2020-06-04,12,"IRQ"
NA,1,"ISL"
2021-04-27,2,"ISL"
2020-09-30,3,"ISL"
NA,4,"ISL"
2020-07-09,5,"ISL"
2020-06-10,6,"ISL"
NA,7,"ISL"
2020-10-10,8,"ISL"
2020-09-23,9,"ISL"
NA,10,"ISL"
2020-06-20,11,"ISL"
2020-06-04,12,"ISL"
NA,1,"ISR"
2021-04-27,2,"ISR"
2020-09-30,3,"ISR"
NA,4,"ISR"
2020-07-09,5,"ISR"
2020-06-10,6,"ISR"
NA,7,"ISR"
2020-10-10,8,"ISR"
2020-09-23,9,"ISR"
NA,10,"ISR"
2020-06-20,11,"ISR"
2020-06-04,12,"ISR"
NA,1,"ITA"
2021-04-27,2,"ITA"
2020-09-30,3,"ITA"
NA,4,"ITA"
2020-07-09,5,"ITA"
2020-06-10,6,"ITA"
NA,7,"ITA"
2020-10-10,8,"ITA"
2020-09-23,9,"ITA"
NA,10,"ITA"
2020-06-20,11,"ITA"
2020-06-04,12,"ITA"
NA,1,"JAM"
2021-04-27,2,"JAM"
2020-09-30,3,"JAM"
NA,4,"JAM"
2020-07-09,5,"JAM"
2020-06-10,6,"JAM"
NA,7,"JAM"
2020-10-10,8,"JAM"
2020-09-23,9,"JAM"
NA,10,"JAM"
2020-06-20,11,"JAM"
2020-06-04,12,"JAM"
NA,1,"JOR"
2021-04-27,2,"JOR"
2020-09-30,3,"JOR"
NA,4,"JOR"
2020-07-09,5,"JOR"
2020-06-10,6,"JOR"
NA,7,"JOR"
2020-10-10,8,"JOR"
2020-09-23,9,"JOR"
NA,10,"JOR"
2020-06-20,11,"JOR"
2020-06-04,12,"JOR"
NA,1,"JPN"
2021-04-27,2,"JPN"
2020-09-30,3,"JPN"
NA,4,"JPN"
2020-07-09,5,"JPN"
