"scenario","Rt","Vaccine","deaths_med","deaths_baseline_med","deaths_averted_med","deaths_025","deaths_baseline_025","deaths_averted_025","deaths_25","deaths_baseline_25","deaths_averted_25","deaths_75","deaths_baseline_75","deaths_averted_75","deaths_975","deaths_baseline_975","deaths_averted_975"
1,"History Based","100-Day Mission",6394888,16299709,9882773,5688802,15985455,7561019,6127380,16225286,8710178,7536786,16369516,10166264,8832685,16465603,10577852
2,"Target Based","100-Day Mission",10977198,16299709,5286573,9319646,15985455,3804132,10318231,16225286,4623738,11688318,16369516,5892644,12694997,16465603,6912781
3,"Economic Based","100-Day Mission",8600004,16299709,7650300,7581932,15985455,5995421,7971298,16225286,6643584,9694683,16369516,8327335,10368789,16465603,8624377
4,"History Based","100-Day Mission & Manufacturing",4451871,16299709,11791394,3948180,15985455,8631546,4220292,16225286,11590782,4692408,16369516,12047043,7748543,16465603,12391636
5,"Target Based","100-Day Mission & Manufacturing",7336672,16299709,8954101,6255004,15985455,5280026,6868202,16225286,7828404,8352896,16369516,9440541,11048309,16465603,10046116
6,"Economic Based","100-Day Mission & Manufacturing",6129419,16299709,10186059,5501557,15985455,7876145,5777921,16225286,8730051,7577429,16369516,10469124,8418363,16465603,10810956
7,"History Based","100-Day Mission & Infrastructure",4831283,16299709,11422336,4345639,15985455,8458606,4640149,16225286,11211584,5088931,16369516,11637731,7968618,16465603,11995316
8,"Target Based","100-Day Mission & Infrastructure",7720676,16299709,8579154,6622149,15985455,6418319,7213935,16225286,7843380,8511341,16369516,9032380,10037262,16465603,9615983
9,"Economic Based","100-Day Mission & Infrastructure",6398254,16299709,9853710,5705562,15985455,7770362,6019744,16225286,8734512,7571856,16369516,10259054,8606731,16465603,10572805
10,"History Based","100-Day Mission Total (Manu. & Infr.)",3527978,16299709,12766235,3084691,15985455,9946245,3339897,16225286,12579671,3700676,16369516,12910189,6416037,16465603,13222960
11,"Target Based","100-Day Mission Total (Manu. & Infr.)",5577958,16299709,10657935,4736770,15985455,7907491,5211163,16225286,9457796,6947823,16369516,11079885,8455371,16465603,11527303
12,"Economic Based","100-Day Mission Total (Manu. & Infr.)",4605868,16299709,11630678,4104634,15985455,8487066,4406747,16225286,10100404,6235001,16369516,11883490,7668595,16465603,12203429
