"scenario","income","Rt","Vaccine","days_med","days_baseline_med","days_extra_med","days_025","days_baseline_025","days_extra_025","days_25","days_baseline_25","days_extra_25","days_75","days_baseline_75","days_extra_75","days_975","days_baseline_975","days_extra_975"
1,"HIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,17,0,17,28,0,28
2,"HIC","Target Based","100-Day Mission",113,0,113,0,0,0,0,0,0,120,0,120,129,0,129
3,"HIC","Economic Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,115,0,115
4,"HIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,4,0,4,19,0,19
5,"HIC","Target Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"HIC","Economic Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"HIC","History Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,1,0,1,19,0,19
8,"HIC","Target Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,123,0,123,137,0,137
9,"HIC","Economic Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"HIC","History Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,1,0,1,19,0,19
11,"HIC","Target Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"HIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LIC","Target Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LIC","Economic Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"LIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LIC","Target Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,103,0,103
6,"LIC","Economic Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"LIC","History Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"LIC","Target Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"LIC","Economic Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LMIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LMIC","Target Based","100-Day Mission",228,0,228,0,0,0,118,0,118,325,0,325,474,0,474
3,"LMIC","Economic Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
4,"LMIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,115,0,115
5,"LMIC","Target Based","100-Day Mission & Manufacturing",124,0,124,0,0,0,118,0,118,245,0,245,384,0,384
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,113,0,113
7,"LMIC","History Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
8,"LMIC","Target Based","100-Day Mission & Infrastructure",125,0,125,0,0,0,106,0,106,220,0,220,372,0,372
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,108,0,108
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,114,0,114
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,107,0,107,133,0,133
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,109,0,109
1,"UMIC","History Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,62,0,62
2,"UMIC","Target Based","100-Day Mission",0,0,0,0,0,0,0,0,0,112,0,112,227,0,227
3,"UMIC","Economic Based","100-Day Mission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"UMIC","History Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,75,0,75
5,"UMIC","Target Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,101,0,101,126,0,126
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"UMIC","History Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,57,0,57
8,"UMIC","Target Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,97,0,97,231,0,231
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,75,0,75
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,110,0,110,176,0,176
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
